accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
4,0,0.0,24,5,50.0,49,21,70,69.31,9,37.5,15,7,1,0,0,0,4,3,0,3,0,4,7,0,0,4,0,22,0,0,1.21,2.29,2,0,30.77,0,4,5,3,3,0,4,0,,8,53.33,1,0,0,31,0,7,1,7,527,3,,0,0,1,0,100.0,0,1,0,1,54,1,0,7.41,0,2,0,0,0,0,0,0,131.75,0.0,0,12,1,5,5,0,0.0,0,1,0,0.0,7,8,2,2,17,43.59,10,78,25,101,51.9,13,2,160,7,0,0,Mauro Icardi,Galatasaray,233114,3061,FW
21,12,24.0,131,31,63.27,217,128,333,78.72,1,25.0,3,15,3,0,0,0,46,4,2,9,0,5,15,0,0,11,10,59,0,0,3.09,2.87,15,0,20.0,0,6,9,17,15,2,5,1,,46,45.1,0,0,1,90,5,32,6,11,946,4,,0,1,0,0,0.0,0,0,0,1,194,5,0,7.4,0,0,0,0,0,0,0,0,157.67,0.0,1,15,15,6,15,14,38.89,0,13,9,69.23,31,46,36,50,47,44.34,49,324,149,423,111.0,30,3,657,19,3,0,Oleksandr Zubkov,Trabzonspor,353282,3051,MF
12,0,0.0,135,19,61.29,236,127,363,67.72,72,46.75,82,29,2,0,0,0,86,3,11,10,3,23,29,0,0,34,11,194,0,0,2.33,12.92,45,0,14.61,0,13,15,42,33,9,13,0,,135,54.66,1,0,2,173,4,19,2,29,2501,21,,0,0,0,0,0.0,0,0,0,1,375,26,0,7.36,1,10,0,0,0,0,0,0,192.38,0.0,0,78,11,45,34,43,60.56,0,39,21,53.85,19,26,71,6,207,51.62,31,394,148,536,213.4,89,3,1062,54,5,1,Nuno Da Costa,Kasımpaşa,209374,6063,FW
52,1,33.33,151,100,47.17,509,819,1327,85.39,86,68.8,39,30,1,0,0,0,143,1,9,2,10,158,30,0,0,4,18,89,0,0,0.77,4.31,23,0,13.04,10,3,4,22,22,0,3,0,,101,66.89,3,0,1,227,43,9,0,30,2619,0,,0,0,0,1,0.0,0,0,0,0,266,5,0,7.35,0,0,0,0,0,0,0,0,873.0,0.0,0,22,1,14,7,20,76.92,0,62,43,69.35,9,104,26,3,187,67.75,212,671,886,1554,220.6,23,7,2012,21,7,0,Davinson Sánchez,Galatasaray,566102,3061,DF
93,0,0.0,68,239,42.83,148,584,732,68.99,16,94.12,1,32,0,0,0,0,278,0,0,0,13,18,32,2,0,0,0,2,1,2,0.1,,1,0,0.0,171,0,0,41,36,5,0,0,7.6,9,90.0,0,28,0,329,1,0,0,32,2880,0,,0,0,0,1,0.0,12,0,3,0,339,0,9,7.35,0,0,12,77,37,115,0,26,0.0,0.0,0,0,0,0,0,3,100.0,12,1,1,100.0,0,133,3,0,25,92.59,558,431,630,1061,235.2,0,4,1385,12,3,0,Uğurcan Çakır,Trabzonspor,754330,3051,GK
22,42,22.83,387,70,42.68,793,550,1301,84.54,43,57.33,32,33,8,0,0,0,166,8,0,6,9,76,33,0,0,25,29,147,1,2,4.27,0.95,30,0,0.0,3,0,8,31,28,3,0,0,,158,57.88,0,0,1,238,26,49,0,31,2758,2,,0,1,0,0,0.0,0,0,0,0,525,5,0,7.33,0,0,0,0,0,0,0,0,0.0,0.0,9,5,24,16,7,58,63.74,0,72,41,56.94,48,77,91,184,201,57.76,164,1108,615,1539,241.8,29,5,2505,29,9,0,Arthur Masuaku,Beşiktaş JK,174975,3050,DF
25,41,26.28,298,32,55.17,489,126,574,77.25,8,28.57,20,28,5,0,0,0,112,13,6,7,2,20,28,0,0,7,14,89,0,1,6.64,3.85,30,0,9.68,0,3,8,22,19,3,2,1,,92,57.14,1,0,2,169,12,58,0,24,2051,10,,0,0,0,0,0.0,0,0,0,1,365,20,0,7.33,0,2,0,0,0,0,0,0,683.67,0.0,0,23,8,12,12,15,41.67,0,50,25,50.0,58,57,36,156,100,52.91,58,742,157,743,205.1,31,4,1226,28,2,0,Milot Rashica,Beşiktaş JK,800411,3050,MF
12,13,20.0,133,11,57.89,218,64,269,75.56,6,60.0,4,20,3,0,0,0,56,8,0,11,1,6,20,0,0,18,5,74,0,0,3.15,1.98,11,0,9.76,0,4,7,13,12,1,3,1,,92,56.79,0,0,1,87,2,30,1,14,1211,4,,0,0,0,0,0.0,0,0,0,1,237,14,0,7.32,0,3,0,0,0,0,0,0,302.75,0.0,0,20,21,12,18,52,59.09,0,20,14,70.0,30,22,88,65,98,56.98,19,345,76,356,146.3,41,2,699,20,3,0,Allan Saint-Maximin,Fenerbahçe,347010,3052,MF
36,15,24.59,491,29,60.42,762,219,966,78.86,11,33.33,22,35,5,0,0,0,131,15,18,18,3,3,35,0,0,48,27,172,1,1,6.48,15.04,15,0,13.48,0,12,17,34,31,3,11,1,,147,49.49,1,0,1,259,9,62,0,35,3090,9,,0,0,0,0,0.0,0,0,0,2,534,28,0,7.31,0,11,0,0,0,0,0,0,257.5,0.0,1,64,25,28,43,60,48.0,0,23,15,65.22,62,70,125,61,158,47.88,48,1034,252,1225,255.9,89,7,1849,64,5,0,Rafa Silva,Beşiktaş JK,252577,3050,MF
84,7,26.92,396,92,58.23,801,654,1448,84.63,10,26.32,28,31,4,0,0,0,160,5,2,17,6,30,31,0,0,30,24,133,0,0,3.72,3.28,38,0,10.87,0,5,9,29,25,4,4,1,,149,58.66,0,0,0,263,31,34,4,29,2582,1,,0,0,0,0,0.0,0,0,0,1,383,19,0,7.3,0,1,0,0,0,0,0,0,516.4,0.0,1,20,26,14,15,15,45.45,0,72,32,44.44,34,159,33,26,159,54.45,158,1033,704,1711,226.4,46,1,2201,63,8,0,Fred,Fenerbahçe,243623,3052,MF
