,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
306,Julien López,dz ALG,MFFW,Paris FC,32,1992,31,9,1070,11.9,3,1,4,3,0,0,6,1,0.25,0.08,0.34,0.25,0.34,Matches,bb288dae
307,Maxime Lopez,fr FRA,MF,Paris FC,26,1997,27,26,2338,26.0,3,6,9,3,0,0,11,0,0.12,0.23,0.35,0.12,0.35,Matches,20094685
308,Joseph Lopy,sn SEN,MF,Pau FC,32,1992,7,5,388,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3886c982
309,Adriel Loua,ci CIV,MF,Caen,28,1996,6,3,258,2.9,0,1,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches,b13a2b09
310,Dylan Louiserre,fr FRA,MF,Guingamp,29,1995,33,32,2760,30.7,1,0,1,0,1,2,4,0,0.03,0.00,0.03,0.00,0.00,Matches,a5f04eee
311,Josias Lukembila,ch SUI,MF,Paris FC,24,1999,2,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4a0e9cc
312,Rayan Lutin,km COM,MF,Amiens,21,2003,30,22,1655,18.4,1,5,6,1,0,0,3,0,0.05,0.27,0.33,0.05,0.33,Matches,bec3e63d
313,Taylor Luvambo,,FW,Guingamp,25,1999,27,4,688,7.6,4,0,4,4,0,0,4,0,0.52,0.00,0.52,0.52,0.52,Matches,5b2bfb94
314,Joshua M'Bahia,ci CIV,DF,Clermont Foot,19,2005,6,2,195,2.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,f02067df
315,Youssouf M'Changama,km COM,MF,Troyes,33,1990,33,29,2589,28.8,3,6,9,3,0,0,1,0,0.10,0.21,0.31,0.10,0.31,Matches,e05082d1
316,Yann M'Vila,fr FRA,MF,Caen,34,1990,19,16,1529,17.0,1,1,2,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12,Matches,d4133fa1
317,Louis Mafouta,cf CTA,FW,Amiens,30,1994,32,30,2604,28.9,9,4,13,4,5,6,4,1,0.31,0.14,0.45,0.14,0.28,Matches,bec3d251
