accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
25,5,14.71,409,17,56.67,569,144,713,82.62,6,26.09,17,34,9,0,0,2,84,14,12,40,4,1,34,0,1,49,10,166,0,0,6.48,13.23,26,0,8.62,0,10,19,20,17,3,10,0,,174,53.87,0,0,4,150,3,61,9,31,2614,6,0,0,0,4,0,50.0,0,2,0,4,387,31,0,7.3,1,1,0,0,0,0,0,0,261.4,0.0,4,78,38,30,46,90,57.69,0,19,13,68.42,61,60,156,34,180,52.02,30,709,154,863,248.2,116,6,1488,65,2,0,John Yeboah,Venezia,879802,2688
73,26,25.74,610,85,61.15,1206,872,2078,89.34,37,61.67,23,37,4,0,0,0,155,7,3,28,10,59,37,0,0,33,18,149,0,2,7.31,7.17,61,1,8.64,0,7,11,28,24,4,3,4,,117,48.15,0,0,1,248,38,66,2,37,3203,0,4,0,0,1,0,100.0,0,1,0,0,436,22,0,7.29,0,5,0,0,0,0,0,0,457.57,6.25,16,25,56,29,24,17,48.57,0,58,36,62.07,66,126,35,101,154,50.83,139,1393,933,2326,269.9,81,4,2956,43,9,0,Gianluca Busio,Venezia,896180,2688
84,43,34.13,372,121,51.71,730,645,1375,82.93,38,50.0,38,32,2,0,0,0,146,7,0,18,10,61,32,0,0,16,30,159,1,0,4.63,3.39,63,0,8.96,0,6,8,20,17,3,4,2,,125,50.81,0,0,0,283,22,52,2,32,2637,0,7,0,2,1,0,100.0,0,1,0,0,449,15,0,7.29,1,4,0,0,0,0,0,0,439.5,0.0,6,14,53,27,22,22,55.0,0,63,35,55.56,50,158,40,126,163,50.62,234,942,716,1658,233.2,67,3,2254,40,6,1,Filippo Ranocchia,Palermo,934238,2715
114,11,28.21,303,82,65.08,691,625,1316,89.95,13,48.15,14,27,1,0,0,0,94,5,0,6,6,39,27,0,0,16,22,86,1,1,3.82,0.84,30,0,14.29,0,2,3,20,19,1,2,0,,83,53.55,2,0,0,147,25,30,0,26,2087,0,11,0,0,0,0,0.0,0,0,0,0,212,5,0,7.28,0,0,0,0,0,0,0,0,1043.5,0.0,1,3,11,4,4,5,50.0,0,35,21,60.0,30,161,10,39,96,52.75,126,798,665,1463,196.5,14,0,1792,45,10,0,Jacopo Petriccione,Catanzaro,573596,2796
4,15,15.63,291,9,64.29,464,174,638,82.43,7,20.0,28,37,3,0,0,0,86,11,6,29,6,6,37,0,0,38,6,158,0,1,5.78,10.02,19,0,14.15,0,15,18,28,25,3,13,2,,113,46.5,0,0,3,136,2,56,14,36,3023,5,1,0,1,0,0,0.0,0,0,0,0,405,13,0,7.27,0,1,0,0,0,0,0,0,201.53,0.0,0,76,30,40,37,62,47.69,0,12,8,66.67,55,15,130,96,120,43.17,14,580,194,774,269.0,106,6,1358,39,4,0,Farès Ghedjemis,Frosinone,1445228,2801
87,7,35.0,190,117,53.67,434,573,1007,83.99,53,65.43,28,23,4,0,0,0,77,2,0,2,5,81,23,0,0,3,1,75,0,1,1.52,2.16,43,0,26.67,17,4,8,17,15,2,4,0,,71,60.17,2,0,0,192,25,10,0,23,1872,2,14,0,0,0,1,0.0,0,0,0,0,231,3,0,7.27,2,2,0,0,0,0,0,0,468.0,0.0,0,13,2,6,7,8,80.0,0,33,19,57.58,10,155,10,20,124,62.31,218,560,639,1199,167.2,15,5,1515,33,8,2,Armando Izzo,US Avellino 1912,165583,2730
75,69,32.24,442,59,42.45,727,567,1294,81.85,45,59.21,31,38,3,0,0,0,188,7,2,10,14,84,38,0,0,22,10,116,0,0,6.86,1.07,20,0,4.0,0,1,4,29,25,4,1,0,,90,51.43,0,0,1,287,27,70,1,37,3244,1,13,0,1,0,0,0.0,0,0,0,0,581,15,0,7.24,0,0,0,0,0,0,0,0,3244.0,0.0,2,14,11,10,5,31,46.97,0,36,23,63.89,69,143,66,214,135,53.78,139,910,671,1581,275.2,25,2,2462,23,3,0,Tommaso Augello,Palermo,596736,2715
5,0,0.0,7,34,38.2,23,75,98,63.23,2,100.0,0,5,0,0,0,0,41,0,0,0,0,5,5,0,0,0,0,0,0,0,0.03,,0,0,0.0,42,0,0,7,6,1,0,0,1.73,0,0.0,0,5,0,57,0,0,0,4,440,0,0,0,0,0,0,0.0,0,0,0,0,58,0,1,7.24,0,0,2,13,5,19,1,4,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,7,0,0,2,100.0,89,72,83,155,36.2,0,1,211,1,0,0,Michele Pezzolato,Modena,1102968,2706
37,2,40.0,74,81,49.39,298,786,1084,84.1,122,64.21,68,31,0,0,0,0,113,0,7,8,11,213,31,0,0,1,15,125,0,1,0.92,6.12,44,0,9.38,25,3,3,21,17,4,3,0,,84,59.57,0,0,1,205,48,5,0,31,2546,2,27,0,0,0,0,0.0,0,0,0,2,239,3,0,7.24,0,2,0,0,0,0,0,0,848.67,0.0,0,31,1,14,10,2,50.0,0,51,27,52.94,5,90,4,5,206,62.24,164,439,850,1289,224.3,32,6,1822,38,9,0,Mattia Bani,Palermo,250547,2715
36,0,0.0,18,156,40.63,77,415,492,67.96,4,100.0,0,25,0,0,0,0,156,0,0,0,3,12,25,1,0,0,0,0,1,0,0.02,,0,0,0.0,153,0,0,39,32,7,0,0,3.56,0,0.0,0,22,0,232,0,0,0,25,2250,0,0,0,0,0,0,0.0,6,0,1,0,234,0,8,7.23,0,0,2,49,22,72,0,23,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,63,0,0,4,100.0,384,244,480,724,180.7,0,4,935,0,1,0,Giovanni Daffara,US Avellino 1912,1100418,2730
