accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
8,0,0.0,14,64,37.43,37,195,232,68.04,2,100.0,0,10,0,0,0,0,80,0,0,0,3,9,10,0,0,0,2,3,0,1,,,1,0,0.0,49,0,0,17,15,2,0,0,,0,0.0,0,5,0,109,0,0,0,10,900,0,0,0,0,0,1,0.0,3,0,0,0,111,0,5,7.26,0,0,7,31,9,40,0,9,0.0,0.0,0,0,0,0,0,0,0.0,6,0,0,0.0,0,25,0,0,2,40.0,171,126,215,341,72.6,0,2,437,1,2,0,Pedro López,AD Ceuta,369780,2869
69,4,33.33,240,110,55.0,686,1150,1836,89.65,58,53.21,51,36,1,0,0,0,220,5,6,3,11,158,36,0,2,8,27,125,1,2,,,32,0,5.56,52,1,2,39,36,3,1,0,,181,70.98,0,0,1,212,61,26,0,35,3131,7,30,0,0,0,2,0.0,0,0,0,0,277,3,0,7.24,2,1,0,0,0,0,0,0,3131.0,0.0,0,18,0,8,7,29,72.5,0,73,45,61.64,26,117,40,12,239,65.66,200,837,1211,2048,260.7,18,8,2690,80,11,0,Alberto Jiménez,CD Castellón,343907,5067
88,0,0.0,54,220,42.55,145,439,584,65.62,17,94.44,1,27,0,0,0,0,291,0,0,0,7,41,27,0,0,1,1,3,3,2,,,1,0,0.0,150,0,0,35,30,5,0,0,,11,84.62,0,28,0,306,0,0,0,27,2430,0,0,0,0,0,0,0.0,6,0,3,0,314,0,23,7.21,1,0,22,61,26,87,0,17,0.0,0.0,0,0,0,0,0,1,100.0,20,1,1,100.0,0,138,1,0,28,90.32,517,402,488,890,194.6,0,1,1166,9,8,1,Esteban Andrada,Real Zaragoza,79822,2815
79,1,33.33,261,180,44.89,751,1633,2384,85.97,111,58.42,79,38,0,0,0,0,196,1,2,4,7,303,38,0,1,10,26,165,2,6,,,42,0,10.53,66,2,2,46,39,7,2,0,,119,58.05,2,0,1,389,39,21,0,37,3222,0,39,0,0,0,1,0.0,0,0,0,0,449,5,0,7.21,1,0,0,0,0,0,0,0,1611.0,0.0,0,14,5,10,5,19,61.29,0,64,36,56.25,21,191,31,3,230,58.23,401,1031,1742,2773,273.8,19,7,3466,42,11,0,Gael Alonso,FC Andorra,1120944,324871
67,0,0.0,4,93,49.73,22,708,730,86.49,4,66.67,2,21,0,0,0,0,174,0,0,0,3,21,21,1,0,0,1,3,3,0,,,0,0,0.0,89,0,0,29,26,3,0,0,,3,75.0,0,8,0,114,0,1,0,21,1890,0,0,0,0,0,0,0.0,2,0,0,0,124,0,10,7.2,0,0,8,51,17,69,0,11,0.0,0.0,0,0,0,0,0,0,0.0,7,2,2,100.0,1,111,0,0,7,70.0,187,77,767,844,151.2,0,1,1063,1,1,0,Áron Yaakobishvili,FC Andorra,1402902,324871
63,47,22.38,607,47,50.54,836,234,1070,75.83,12,30.77,27,41,8,0,0,0,188,23,10,43,6,12,41,0,0,95,58,340,0,0,,,65,0,11.2,0,14,22,47,44,3,10,4,,208,39.92,1,0,1,341,23,101,12,40,3489,5,3,0,1,3,0,100.0,0,3,0,1,839,52,0,7.19,0,1,0,0,0,0,0,0,249.21,0.0,7,66,59,33,49,75,41.9,0,73,37,50.68,100,122,179,210,220,39.29,93,1133,278,1411,294.8,125,6,2520,62,5,0,Álex Calatrava,CD Castellón,1136863,5067
5,24,20.0,109,14,45.16,183,77,260,74.71,5,45.45,6,15,1,0,0,0,47,7,3,6,2,5,15,0,0,28,26,100,0,0,,,18,0,9.09,0,2,3,14,13,1,1,1,,105,52.76,0,0,1,88,5,22,2,15,1248,0,2,0,0,0,0,0.0,0,0,0,1,280,6,0,7.19,0,0,0,0,0,0,0,0,624.0,0.0,2,14,8,8,8,19,45.24,0,35,24,68.57,22,22,42,120,110,52.38,31,253,95,348,107.8,22,2,756,53,2,0,Rober González,Real Zaragoza,910022,2815
38,0,0.0,33,214,38.01,137,469,606,63.32,10,83.33,2,42,0,0,0,0,292,0,0,0,19,35,42,1,0,0,0,2,0,3,,,0,0,0.0,368,0,0,33,26,7,0,0,,1,100.0,0,37,0,351,0,0,0,42,3780,0,0,0,0,0,0,0.0,0,0,0,0,365,0,15,7.17,0,0,10,73,39,112,1,17,0.0,0.0,0,0,0,0,0,0,0.0,10,1,0,0.0,0,65,0,0,11,84.62,563,416,541,957,301.2,0,3,1310,1,1,0,Ander Cantero,Burgos Club de Fútbol,188349,2854
12,7,19.44,267,8,38.1,410,146,556,73.25,122,47.29,136,35,12,0,0,0,91,13,12,23,4,26,35,0,1,57,13,294,0,0,,,46,1,14.85,0,15,27,38,35,3,13,2,,142,47.33,2,0,0,203,8,33,2,33,2817,22,1,0,0,3,0,100.0,0,3,0,2,456,14,0,7.17,1,11,0,0,0,0,0,0,187.8,25.0,4,82,19,37,41,39,46.99,0,28,15,53.57,33,27,83,36,264,47.31,21,581,178,759,250.8,101,6,1401,79,5,0,Juan Otero,Sporting Gijón,796512,2852
26,0,0.0,8,63,36.42,41,184,225,67.16,4,100.0,0,15,0,0,0,0,114,0,0,0,1,12,15,0,0,0,1,2,0,0,,,1,0,0.0,79,0,0,23,19,4,0,0,,2,50.0,0,15,0,110,0,0,0,15,1305,0,0,0,0,0,1,0.0,2,0,1,0,110,0,3,7.15,0,0,10,27,22,49,1,9,0.0,0.0,0,0,0,0,0,0,0.0,9,0,0,0.0,0,45,0,0,6,75.0,173,128,207,335,107.2,0,0,502,2,2,0,Adrián Rodríguez,Real Zaragoza,965822,2815
