,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
545,Salvatore Sirigu,it ITA,GK,Palermo,37,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,10dc46f0
546,Mario Šitum,hr CRO,MFDF,Catanzaro,32,1992,24,18,1528,17.0,1,3,4,1,0,0,2,0,0.06,0.18,0.24,0.06,0.24,Matches,0638becf
547,Laurs Skjellerup,dk DEN,FW,Sassuolo,21,2002,5,2,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5f2d3485
548,Markus Solbakken,no NOR,MF,Pisa,24,2000,7,4,340,3.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fe0f9f6a
549,Edoardo Soleri,it ITA,FW,Spezia,26,1997,20,9,867,9.6,3,1,4,3,0,0,3,0,0.31,0.10,0.42,0.31,0.42,Matches,3c33accc
550,Matteo Solini,it ITA,DF,Mantova,31,1993,21,11,1104,12.3,2,0,2,2,0,0,7,0,0.16,0.00,0.16,0.16,0.16,Matches,9c64d84e
551,Roberto Soriano,it ITA,MF,Salernitana,33,1991,31,21,1923,21.4,4,0,4,4,0,0,4,0,0.19,0.00,0.19,0.19,0.19,Matches,9d4c45d6
552,Alessandro Sorrentino,it ITA,GK,Frosinone,22,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8ef2452a
553,Joaquin Sosa,uy URU,DF,Reggiana,22,2002,8,4,392,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,50841bef
554,Edoardo Sottini,it ITA,DF,Cittadella,21,2002,2,1,74,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,85cc3ac2
555,Petar Stojanović,si SVN,MFDF,Salernitana,28,1995,28,19,1731,19.2,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,13b44b02
556,Luca Strizzolo,it ITA,FW,Cosenza,32,1992,16,6,601,6.7,1,2,3,1,0,0,4,0,0.15,0.30,0.45,0.15,0.45,Matches,2bcfd41b
557,Leo Štulac,si SVN,MF,Reggiana,29,1994,11,5,437,4.9,0,1,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches,92948398
558,Christian Sussi,it ITA,MF,Pisa,23,2001,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6e9f40b7
559,Przemysław Szymiński,pl POL,DF,Frosinone,30,1994,1,1,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9b3099d6
560,Fabian Tait,it ITA,MFFW,FC Südtirol,31,1993,19,9,766,8.5,1,3,4,1,0,0,1,0,0.12,0.35,0.47,0.12,0.47,Matches,216cd503
561,Elayis Tavsan,nl NED,MFFW,Cesena,23,2001,28,8,1141,12.7,4,2,6,4,0,0,3,0,0.32,0.16,0.47,0.32,0.47,Matches,928143e7
562,Andrés Tello,co COL,MF,Salernitana,27,1996,18,10,826,9.2,1,0,1,1,0,0,7,1,0.11,0.00,0.11,0.11,0.11,Matches,5f951ef1
563,Andrea Tessiore,it ITA,MF,Cittadella,24,1999,25,6,825,9.2,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches,6931ad94
564,Demba Thiam,sn SEN,GK,Juve Stabia,26,1998,38,38,3420,38.0,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,0f47717b
565,Kristian Thorstvedt,no NOR,MF,Sassuolo,25,1999,22,22,1920,21.3,7,4,11,6,1,1,5,0,0.33,0.19,0.52,0.28,0.47,Matches,76ff8d0d
566,Jeremy Toljan,de GER,DF,Sassuolo,29,1994,34,31,2865,31.8,0,6,6,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,Matches,a96e5dc0
567,Franco Tongya,it ITA,MFFW,Salernitana,22,2002,28,17,1513,16.8,3,0,3,3,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches,ae7907a4
568,Ernesto Torregrossa,ve VEN,FW,Salernitana,32,1992,11,1,335,3.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,bf39bdec
569,Ernesto Torregrossa,ve VEN,FWMF,Carrarese,32,1992,11,7,413,4.6,3,1,4,3,0,0,1,0,0.65,0.22,0.87,0.65,0.87,Matches,bf39bdec
570,Lorenzo Tosi,it ITA,FW,Pisa,16,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de683712
571,Idrissa Touré,de GER,MF,Pisa,26,1998,33,31,2427,27.0,6,4,10,6,0,0,7,1,0.22,0.15,0.37,0.22,0.37,Matches,6cfd5783
