,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
34,Fredrik Aursnes,no NOR,MF,Benfica,28,1995,29,28,2350,26.1,3,5,8,3,0,0,1,0,0.11,0.19,0.31,0.11,0.31,Matches,f0677ed7
35,Daniel Azevedo,pt POR,GK,Casa Pia,26,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b2cba78
36,Ibrahima Ba,sn SEN,DF,Famalicão,19,2005,2,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bda3b9da
37,Felix Bacher,at AUT,DF,Estoril,23,2000,23,23,2070,23.0,2,0,2,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches,b2e208ba
38,Miguel Baeza,es ESP,MFFW,Nacional,24,2000,5,2,203,2.3,1,0,1,1,0,0,0,0,0.44,0.00,0.44,0.44,0.44,Matches,a98f3cbf
39,Alexander Bah,dk DEN,DF,Benfica,26,1997,18,17,1412,15.7,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,78f21137
40,Ney Bahia,br BRA,FW,Santa Clara,20,2004,2,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75f3e793
41,Adrian Bajrami,ch SUI,DF,Benfica,22,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3eff5888
42,Theofanis Bakoulas,gr GRE,MF,Rio Ave,19,2005,10,5,390,4.3,1,0,1,1,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches,11239a35
43,Elves Baldé,gw GNB,MFFW,Farense,24,1999,20,12,1045,11.6,1,2,3,1,0,0,1,1,0.09,0.17,0.26,0.09,0.26,Matches,4a021afe
44,Mohamed Bamba,ci CIV,MF,Gil Vicente FC,19,2004,11,11,956,10.6,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,562bf675
45,Robson Bambu,br BRA,DF,Braga,26,1997,15,10,1023,11.4,1,0,1,1,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches,d4fa7d01
46,Chico Banza,ao ANG,FWMF,Estrela,25,1998,13,8,688,7.6,1,0,1,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches,c9f58f4d
47,Simon Banza,cd COD,FWMF,Braga,27,1996,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be47b750
48,Rafael Barbosa,pt POR,MF,Farense,28,1996,7,3,359,4.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2a34574e
49,Leandro Barreiro Martins,lu LUX,MF,Benfica,24,2000,27,11,1211,13.5,3,1,4,3,0,0,5,0,0.22,0.07,0.30,0.22,0.30,Matches,00242b75
50,Gil Bastião Dias,pt POR,MF,Famalicão,27,1996,30,13,1406,15.6,5,2,7,5,0,0,7,0,0.32,0.13,0.45,0.32,0.45,Matches,e61bdd69
51,Gabriel Batista,br BRA,GK,Santa Clara,26,1998,34,34,3060,34.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,20575487
52,Gilberto Batista,gw GNB,DF,Moreirense,20,2003,5,3,317,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f16755ca
53,Ricardo Batista,pt POR,GK,Casa Pia,37,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,abef8824
54,Yanis Begraoui,ma MAR,FWMF,Estoril,23,2001,34,25,1913,21.3,11,3,14,9,2,4,1,0,0.52,0.14,0.66,0.42,0.56,Matches,5e6355f8
55,Gui Beleza,pt POR,MF,Gil Vicente FC,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,178f99f2
56,Bachir Belloumi,dz ALG,MF,Farense,22,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6cafcad
57,Andrea Belotti,it ITA,FW,Benfica,30,1993,14,4,457,5.1,3,0,3,3,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches,d705ba44
58,Fahem Benaissa Yahia,fr FRA,MF,Casa Pia,22,2002,8,4,386,4.3,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,98e19a24
59,Beni,ao ANG,MF,Casa Pia,22,2002,13,7,749,8.3,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,2ca7a245
60,Beni,ao ANG,MF,Vit. Guimarães,22,2002,7,2,177,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2ca7a245
61,Álex Bermejo,es ESP,MFFW,Farense,25,1998,24,4,598,6.6,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches,d9b180dd
