accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
49,34,36.17,497,45,78.95,805,298,1069,92.0,5,33.33,10,30,6,0,0,0,73,16,0,10,0,3,30,0,0,26,16,92,0,1,6.44,3.51,21,0,14.63,0,6,12,22,17,5,5,1,,82,50.0,1,0,3,93,3,57,3,19,1665,1,,0,0,0,0,0.0,0,0,0,0,226,15,0,7.46,0,2,0,0,0,0,0,0,277.5,0.0,1,22,19,17,14,29,60.42,0,25,17,68.0,57,61,48,94,87,48.6,57,943,313,1162,223.7,41,3,1513,28,1,0,Kang-in Lee,Paris Saint-Germain,917087,1644,
2,0,0.0,1,15,35.71,6,20,26,49.06,0,0.0,0,2,0,0,0,0,22,0,0,0,1,3,2,0,0,0,1,1,0,0,0.0,,0,0,0.0,12,0,0,3,3,0,0,0,0.27,0,0.0,0,3,0,27,0,0,0,2,180,0,,0,0,0,0,0.0,2,0,1,0,27,0,0,7.45,0,0,2,4,2,6,0,1,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,2,0,0,0,0.0,42,26,27,53,14.9,0,1,72,0,0,0,Théo De Percin,Auxerre,1095836,1646,GK
66,3,20.0,365,63,78.75,823,626,1446,92.22,22,64.71,12,29,8,0,0,0,123,9,4,8,2,19,28,0,0,16,18,74,0,1,3.92,2.98,17,0,10.71,0,3,11,23,20,3,2,1,,111,64.16,0,0,0,122,23,33,1,22,1857,3,,0,0,0,0,0.0,0,0,0,0,198,13,0,7.45,0,2,0,0,0,0,0,0,619.0,0.0,0,21,7,8,12,16,59.26,0,63,31,49.21,33,97,27,15,133,64.25,80,920,663,1568,208.5,28,5,1942,33,1,0,João Neves,Paris Saint-Germain,1190933,1644,MF
38,0,0.0,227,50,66.67,588,812,1400,88.61,40,60.61,26,32,3,0,0,0,188,9,3,12,9,64,32,0,0,11,36,114,0,1,1.95,5.06,29,0,21.74,0,10,13,42,40,2,8,2,,188,68.12,3,0,0,180,32,27,3,32,2857,0,,0,0,0,1,0.0,0,0,0,1,258,16,0,7.44,0,4,0,0,0,0,0,0,285.7,0.0,0,26,20,18,16,18,56.25,0,110,74,67.27,27,57,32,0,228,66.67,75,703,877,1580,238.2,46,2,2110,63,8,0,Andrey Santos,RC Strasbourg,1105779,1659,MF
6,2,25.0,87,2,66.67,119,29,146,64.04,19,39.58,29,16,2,0,0,1,23,8,10,9,0,6,16,0,0,16,4,76,0,0,3.24,11.32,19,0,30.95,0,13,15,16,13,3,13,0,,35,42.68,0,0,0,82,4,22,1,16,1237,6,,0,0,2,0,50.0,0,1,0,1,157,8,0,7.42,0,12,0,0,0,0,0,0,95.15,0.0,0,40,2,9,24,1,10.0,0,5,5,100.0,22,8,10,8,54,41.54,3,194,42,228,118.7,42,3,431,30,1,0,Mika Biereth,AS Monaco,1083007,1653,FW
34,6,15.0,437,18,43.9,847,452,1293,86.84,35,57.38,26,29,4,0,0,0,124,7,5,10,4,31,29,0,0,31,13,145,0,0,3.8,7.26,53,0,18.75,0,9,13,39,37,2,9,0,,107,47.35,3,0,2,196,21,28,6,27,2483,12,,0,0,0,1,0.0,0,0,0,0,344,32,0,7.41,0,0,0,0,0,0,0,0,275.89,0.0,0,41,7,14,24,26,53.06,0,49,31,63.27,28,66,49,40,142,49.48,41,1043,486,1489,214.8,48,2,1930,33,4,0,Adrien Rabiot,Olympique de Marseille,250737,1641,MF
7,0,0.0,0,9,32.14,2,84,86,79.63,1,100.0,0,3,0,0,0,0,31,0,0,0,0,6,3,0,0,0,1,2,0,0,0.0,,1,0,0.0,7,0,0,6,6,0,0,0,0.73,0,0.0,0,1,0,22,0,0,0,3,270,0,,0,0,0,1,0.0,1,0,0,0,22,0,3,7.4,0,0,2,12,4,16,0,2,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,11,0,0,1,33.33,28,14,94,108,22.2,0,0,153,0,0,0,Karl-Johan Johnsson,RC Strasbourg,40973,1659,GK
49,57,30.0,266,27,32.93,528,332,803,77.51,17,60.71,11,28,8,0,0,0,114,14,3,8,3,62,28,0,0,8,28,86,1,2,6.82,2.23,26,0,11.54,0,3,11,28,24,4,3,0,,74,49.66,0,0,0,233,48,55,0,27,2311,1,,0,0,0,0,0.0,0,0,0,1,456,14,0,7.38,0,3,0,0,0,0,0,0,770.33,0.0,5,18,8,10,8,11,40.74,0,52,35,67.31,55,96,27,190,91,51.41,82,839,387,1036,206.5,26,1,1745,12,7,0,Jonathan Clauss,Nice,821728,1661,MF
71,0,0.0,30,168,37.17,81,1036,1117,78.77,5,100.0,0,31,0,0,0,0,274,0,0,0,10,28,31,0,0,0,0,0,0,1,0.05,,0,0,0.0,107,0,0,38,36,2,0,0,7.91,4,100.0,0,38,0,301,0,0,0,31,2790,0,,0,0,0,0,0.0,8,0,1,0,303,0,4,7.37,0,0,18,86,25,111,1,25,0.0,0.0,0,0,0,0,0,1,100.0,17,1,1,100.0,0,109,1,0,9,100.0,452,299,1119,1418,228.4,0,3,1736,3,2,0,Đorđe Petrović,RC Strasbourg,882604,1659,GK
34,20,25.64,280,24,42.86,481,270,731,83.45,8,53.33,7,18,2,0,0,0,61,9,0,6,5,24,17,0,0,8,11,51,0,0,2.93,2.27,18,0,25.0,0,4,6,15,13,2,3,1,,45,50.56,0,0,0,145,19,20,0,16,1388,1,,0,0,2,0,100.0,0,2,0,0,251,6,0,7.36,0,4,0,0,0,0,0,0,347.0,0.0,1,9,7,3,7,6,40.0,0,32,21,65.63,20,65,15,78,53,50.96,56,641,313,876,125.2,16,3,1264,7,3,0,Przemysław Frankowski,RC Lens,286909,1648,MF
