accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
83,57,34.13,514,88,49.16,817,370,1187,77.43,53,46.49,61,34,7,1,0,0,172,18,4,32,5,50,34,0,0,25,20,146,1,1,8.1,12.49,20,3,15.0,0,15,22,64,59,5,11,4,,101,54.3,0,0,2,346,22,77,2,34,3060,6,2,0,2,5,0,80.0,0,4,0,0,567,27,0,7.39,0,13,0,0,0,0,0,0,204.0,20.0,15,52,48,28,40,18,45.0,0,35,21,60.0,75,167,40,167,154,51.33,179,1096,437,1533,251.1,100,9,2186,49,3,0,Marvin Wanitzek,Karlsruher SC,270885,2553
20,40,33.33,181,13,41.94,271,89,360,77.75,11,35.48,20,14,2,0,0,0,66,9,2,17,0,2,14,0,0,12,9,84,0,0,5.26,4.12,9,0,7.32,0,3,5,13,12,1,3,0,,54,45.76,0,0,1,103,8,47,1,13,1126,2,1,0,1,0,0,0.0,0,0,0,0,270,19,0,7.37,0,2,0,0,0,0,0,0,375.33,0.0,6,24,17,10,14,18,33.96,0,18,11,61.11,46,42,53,120,65,43.62,31,367,96,463,103.2,41,1,829,18,3,0,Adil Aouchiche,FC Schalke 04,962877,2530
96,43,24.57,463,107,55.73,646,295,941,77.13,12,33.33,24,33,11,0,0,0,133,18,7,15,3,20,33,0,0,39,31,165,1,1,9.9,5.91,29,0,10.53,0,6,17,54,48,6,4,2,,125,46.99,0,0,2,279,17,101,2,33,2871,7,3,0,1,0,0,0.0,0,0,0,0,596,26,0,7.34,0,4,0,0,0,0,0,0,478.5,0.0,8,27,30,22,20,44,49.44,0,30,21,70.0,100,174,89,175,137,45.36,192,886,334,1220,242.1,57,5,1939,51,10,0,Barış Atik,1. FC Magdeburg,229858,2591
12,3,6.82,175,17,73.91,249,125,374,79.24,29,42.65,39,29,4,0,0,0,76,11,11,13,1,18,29,0,0,43,8,162,0,0,3.24,8.86,19,0,25.93,0,14,18,35,34,1,11,3,,127,50.8,1,0,2,98,8,36,0,28,2331,10,0,0,0,0,0,0.0,0,0,0,1,327,19,0,7.33,0,13,0,0,0,0,0,0,166.5,0.0,0,45,9,17,24,54,50.0,0,16,8,50.0,36,22,108,44,156,49.06,23,333,139,472,212.6,54,7,995,58,3,0,Mohamed Ali Zoma,1. FC Nürnberg,1142833,2523
82,46,32.39,374,110,69.62,873,1165,2038,90.38,20,40.0,30,34,4,0,0,2,166,5,3,11,9,57,34,0,0,16,45,137,0,4,5.57,4.83,39,0,9.09,18,3,7,44,39,5,3,0,,160,59.93,0,0,1,217,47,57,1,34,3030,0,14,0,0,3,0,33.33,0,1,0,0,387,14,0,7.31,0,2,0,0,0,0,0,0,1010.0,0.0,12,9,24,14,8,17,62.96,0,66,44,66.67,57,145,27,142,180,56.78,158,1030,1225,2255,248.5,33,6,2890,77,4,0,Enzo Leopold,Hannover 96,1009161,2541
60,73,34.93,288,69,54.33,484,328,812,79.92,5,21.74,18,28,4,0,0,0,126,18,2,14,5,31,28,0,0,32,18,146,0,1,7.71,3.34,29,0,9.52,0,4,8,38,35,3,2,2,,122,48.8,0,0,2,204,11,73,0,26,2361,7,3,0,2,1,0,100.0,0,1,0,0,480,12,0,7.28,0,4,0,0,0,0,0,0,590.25,0.0,7,17,25,18,10,52,51.49,0,34,26,76.47,71,115,101,209,127,46.52,127,647,369,1016,203.8,42,4,1677,36,5,0,Florent Muslija,Fortuna Düsseldorf,882019,2588
56,0,0.0,35,239,44.1,151,705,856,73.29,10,100.0,0,33,0,0,0,0,284,0,0,0,11,31,33,0,0,0,0,1,0,1,0.04,,1,0,0.0,220,0,0,44,40,4,0,0,8.66,2,66.67,0,24,0,312,0,0,0,33,2970,0,0,0,0,0,1,0.0,4,0,1,0,319,0,13,7.27,0,0,18,67,32,99,1,19,0.0,0.0,0,0,0,0,0,0,0.0,17,0,0,0.0,0,85,0,0,12,92.31,542,385,783,1168,239.8,0,2,1488,2,3,0,Tjark Ernst,Hertha BSC,1019319,2528
6,3,25.0,78,12,57.14,120,53,173,73.93,30,40.54,44,21,3,0,0,0,38,4,12,11,1,14,21,0,0,17,2,91,0,0,2.25,13.26,19,0,22.37,0,17,20,34,29,5,13,4,,30,38.96,0,0,1,61,5,26,2,21,1847,14,2,0,1,3,0,100.0,0,3,0,1,145,11,0,7.26,0,15,0,0,0,0,0,0,108.65,0.0,0,55,21,30,35,3,21.43,0,7,3,42.86,25,16,14,12,60,39.74,21,169,65,234,152.5,76,2,486,20,5,0,Mateusz Żukowski,1. FC Magdeburg,993996,2591
49,58,31.35,261,51,39.23,492,395,887,80.56,20,48.78,21,28,7,0,0,0,108,16,1,16,7,48,28,0,0,17,19,105,0,0,7.79,1.77,16,0,5.26,0,2,9,33,28,5,2,0,,76,47.5,0,0,1,214,27,55,0,28,2456,2,6,0,0,0,0,0.0,0,0,0,0,482,12,0,7.26,0,2,0,0,0,0,0,0,1228.0,0.0,6,12,26,14,8,29,47.54,0,37,21,56.76,55,102,61,185,96,47.76,130,659,442,1101,203.3,38,2,1833,10,4,0,Raphael Obermair,SC Paderborn 07,820465,2561
1,0,0.0,5,1,20.0,35,41,76,91.57,7,70.0,3,2,0,0,0,0,1,0,0,0,0,12,2,0,0,0,0,4,0,0,0.02,,1,0,0.0,1,0,0,1,1,0,0,0,,3,75.0,0,0,0,7,1,0,0,0,107,0,1,0,0,0,0,0.0,0,0,0,0,7,0,0,7.25,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,2,1,50.0,0,2,0,0,10,71.43,5,39,44,83,14.5,0,0,106,2,0,0,Grayson Dettoni,Darmstadt 98,1402999,2576
11,0,0.0,154,10,50.0,251,120,371,67.82,144,59.02,100,32,6,0,0,0,63,6,3,10,3,55,32,0,0,28,7,170,0,0,1.55,8.04,28,0,21.05,0,12,18,38,35,3,12,0,,75,51.72,4,0,0,176,2,41,7,28,2485,9,5,0,1,1,0,100.0,0,1,0,1,281,13,0,7.24,0,1,0,0,0,0,0,0,207.08,0.0,0,50,7,23,24,24,72.73,0,18,12,66.67,40,22,33,4,219,56.3,20,394,153,547,231.7,57,3,924,37,5,0,Philipp Hofmann,VfL Bochum 1848,340719,2542
