,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
360,Aaron Opoku,de GER,MFFW,Kaiserslautern,25,1999,12,5,608,6.8,2,3,5,2,0,0,0,0,0.30,0.44,0.74,0.30,0.74,Matches,b27054da
361,Christian Ortag,de GER,GK,Ulm,29,1995,19,19,1609,17.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e2717d76
362,Winners Osawe,de GER,MF,Nürnberg,17,2006,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,911d0930
363,Kolja Oudenne,se SWE,MF,Hannover 96,22,2001,12,4,453,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c96a99e1
364,Walid Ould-Chikh,ma MAR,MF,BTSV,24,1999,7,2,185,2.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,558c0d6d
365,Mansour Ouro-Tagba,tg TOG,FW,J. Regensburg,20,2004,9,0,150,1.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,4b998b30
366,Mikail Özkan,de GER,DF,Köln,21,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b0c100ca
367,Levin Öztunalı,de GER,FWMF,Hamburger SV,28,1996,2,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,66385c46
368,Torge Paetow,de GER,DF,Preußen Münster,28,1995,12,12,1080,12.0,3,0,3,3,0,0,5,0,0.25,0.00,0.25,0.25,0.25,Matches,770c2e14
369,Merveille Papela,de GER,MF,Darmstadt 98,23,2001,32,9,1278,14.2,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,b4b08774
370,Leart Paqarada,xk KVX,DFMF,Köln,29,1994,31,30,2530,28.1,0,8,8,0,0,0,7,1,0.00,0.28,0.28,0.00,0.28,Matches,82bfc14d
371,Julian Pauli,de GER,DF,Köln,19,2005,17,14,1203,13.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,bb4d88d8
372,Dženan Pejčinović,de GER,FWMF,Düsseldorf,19,2005,19,6,733,8.1,5,0,5,5,0,1,2,0,0.61,0.00,0.61,0.61,0.61,Matches,80f252f6
373,Lucas Perrin,fr FRA,DF,Hamburger SV,25,1998,6,3,327,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,49070d66
374,Lukas Petkov,bg BUL,MF,Elversberg,23,2000,30,26,2147,23.9,4,3,7,4,0,0,7,1,0.17,0.13,0.29,0.17,0.29,Matches,f503ef6e
375,Denis Pfaffenrot,de GER,MF,Greuther Fürth,19,2005,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5223cfdc
376,Luca Pfeiffer,de GER,FW,Karlsruher,27,1996,16,1,312,3.5,0,3,3,0,0,0,1,0,0.00,0.87,0.87,0.00,0.87,Matches,83e1f40e
377,Patric Pfeiffer,gh GHA,DF,Magdeburg,24,1999,8,2,273,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d07d0aeb
378,Immanuel Pherai,sr SUR,MF,Hamburger SV,23,2001,18,5,617,6.9,0,3,3,0,0,0,4,0,0.00,0.44,0.44,0.00,0.44,Matches,f168d9b9
379,Rayan Philippe,fr FRA,FWMF,BTSV,23,2000,34,31,2815,31.3,13,6,19,11,2,2,3,0,0.42,0.19,0.61,0.35,0.54,Matches,a046fc35
380,Florian Pick,de GER,MFFW,Nürnberg,28,1995,9,4,344,3.8,1,1,2,1,0,0,0,0,0.26,0.26,0.52,0.26,0.52,Matches,00e36323
381,Florian Pick,de GER,MFFW,Preußen Münster,28,1995,15,12,989,11.0,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,00e36323
382,Lukas Pinckert,de GER,DF,Elversberg,24,2000,33,33,2897,32.2,0,2,2,0,0,0,10,0,0.00,0.06,0.06,0.00,0.06,Matches,f14e81d2
383,Rafael Pinto,de GER,DFMF,Karlsruher,16,2007,14,3,368,4.1,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches,bd7bd342
384,Felix Platte,de GER,FW,Paderborn 07,28,1996,10,3,320,3.6,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,e644f5ac
385,Julian Pollersbeck,de GER,GK,J. Regensburg,29,1994,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d6f6ce93
386,Sebastian Polter,de GER,FW,BTSV,33,1991,27,10,1041,11.6,2,3,5,2,0,0,1,0,0.17,0.26,0.43,0.17,0.43,Matches,3745e8bd
387,Sebastian Polter,de GER,FW,Schalke 04,33,1991,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3745e8bd
388,Leander Popp,de GER,MF,Greuther Fürth,19,2005,3,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de7b6ebf
389,Łukasz Poręba,pl POL,MFDF,Hamburger SV,24,2000,17,5,667,7.4,1,0,1,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches,be98f358
390,Eric Porstner,de GER,MF,Nürnberg,17,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0b9e8a86
391,Jaka Potočnik,si SVN,FW,Köln,19,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bb1b0ce5
392,Rico Preißinger,de GER,MF,Preußen Münster,28,1996,22,11,1090,12.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,4b3426e8
393,Smail Prevljak,ba BIH,FW,Hertha BSC,29,1995,10,1,309,3.4,1,0,1,0,1,1,2,0,0.29,0.00,0.29,0.00,0.00,Matches,d6f5490e
394,Kai Pröger,de GER,MF,J. Regensburg,32,1992,27,24,2051,22.8,2,0,2,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,8a080a61
395,Joshua Quarshie,de GER,DF,Greuther Fürth,20,2004,15,15,1297,14.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3c200e05
396,Joshua Quarshie,de GER,DF,Düsseldorf,20,2004,5,1,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3c200e05
397,Linus Queisser,de GER,FW,BTSV,20,2003,2,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,290e426d
398,Matheo Raab,de GER,GK,Hamburger SV,25,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f41cca2
399,Sidney Raebiger,de GER,MF,BTSV,19,2005,3,1,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8090a41
400,Guilherme Ramos,pt POR,DF,Hamburger SV,26,1997,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,df9c3473
401,Grant Ranos,am ARM,FW,Kaiserslautern,21,2003,5,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0ee6ea6a
402,Nicolai Rapp,de GER,MF,Karlsruher,27,1996,28,26,2147,23.9,1,1,2,1,0,0,13,0,0.04,0.04,0.08,0.04,0.08,Matches,c8b3a472
403,Tobias Raschl,de GER,MF,Kaiserslautern,24,2000,13,1,201,2.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,bd992863
404,Kenny Redondo,de GER,MFFW,Kaiserslautern,29,1994,20,8,909,10.1,1,0,1,1,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,85b1268a
405,Fabian Reese,de GER,FWMF,Hertha BSC,26,1997,18,14,1373,15.3,11,1,12,11,0,0,0,0,0.72,0.07,0.79,0.72,0.79,Matches,b1823b08
406,Jan Reichert,de GER,GK,Nürnberg,23,2001,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,631dc62b
407,Johannes Reichert,de GER,DF,Ulm,33,1991,25,21,1922,21.4,1,1,2,0,1,1,2,0,0.05,0.05,0.09,0.00,0.05,Matches,0d67ca64
408,Dominik Reimann,de GER,GK,Magdeburg,27,1997,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,4bdecfcd
409,Ludovit Reis,nl NED,MF,Hamburger SV,24,2000,26,18,1620,18.0,2,2,4,2,0,0,5,0,0.11,0.11,0.22,0.11,0.22,Matches,f433c9a6
410,Peter Remmert,de GER,MF,Schalke 04,19,2005,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02e1e5b2
411,Marco Richter,de GER,MFFW,Hamburger SV,26,1997,27,14,1182,13.1,1,2,3,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,Matches,f972644c
412,Clemens Riedel,de GER,DF,Darmstadt 98,21,2003,33,33,2945,32.7,1,1,2,1,0,0,9,0,0.03,0.03,0.06,0.03,0.06,Matches,77cfae67
413,Manuel Riemann,de GER,GK,Paderborn 07,35,1988,13,13,1105,12.3,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,9f941969
414,Marlon Ritter,de GER,MF,Kaiserslautern,29,1994,30,25,2128,23.6,8,3,11,6,2,2,8,0,0.34,0.13,0.47,0.25,0.38,Matches,ce2c51c0
415,Marvin-Lee Rittmüller,de GER,MFDF,BTSV,25,1999,21,17,1418,15.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,401f5a65
416,Leon Robinson,de GER,MFDF,Kaiserslautern,23,2001,19,5,507,5.6,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,038039d4
417,Jannik Rochelt,de GER,MF,Hannover 96,25,1998,27,19,1504,16.7,2,2,4,2,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches,7971c1f1
418,Maximilian Rohr,de GER,DF,Elversberg,29,1995,25,22,1979,22.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,7e4c5a4a
419,Imad Rondić,ba BIH,FW,Köln,25,1999,9,4,417,4.6,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,1b7af391
420,Frank Ronstadt,de GER,MF,Kaiserslautern,27,1997,12,8,683,7.6,0,1,1,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,51d29173
421,Romario Rösch,de GER,MF,Ulm,25,1999,28,24,2052,22.8,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,Matches,87ebfdb8
422,Oliver Rose-Villadsen,dk DEN,MFDF,Nürnberg,22,2001,26,18,1625,18.1,0,2,2,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,cc8165ec
423,Lucas Röser,de GER,FWMF,Ulm,30,1993,26,6,674,7.5,3,0,3,3,0,0,2,0,0.40,0.00,0.40,0.40,0.40,Matches,5c6943be
424,Tim Rossmann,de GER,MFDF,Düsseldorf,20,2003,17,12,1008,11.2,2,1,3,2,0,0,2,1,0.18,0.09,0.27,0.18,0.27,Matches,c0d6c408
425,Noah Rupp,ch SUI,MF,Karlsruher,20,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c2cecbc0
426,Alexander Røssing-Lelesiit,no NOR,FW,Hamburger SV,17,2007,2,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6067c6dd
427,Semih Sahin,de GER,MF,Elversberg,24,1999,22,19,1654,18.4,4,3,7,1,3,3,5,0,0.22,0.16,0.38,0.05,0.22,Matches,59015175
