accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
1,0,0.0,1,8,50.0,5,25,30,78.95,2,100.0,0,1,0,0,0,0,11,0,0,0,0,2,1,0,0,0,0,1,1,0,,,1,0,0.0,0,0,0,2,0,2,0,0,,0,0.0,0,1,0,8,0,0,0,1,90,0,,0,0,0,1,0.0,1,0,1,0,9,0,2,7.9,0,0,2,4,4,8,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1,0,0,2,66.67,16,13,25,38,7.9,0,0,56,0,1,0,Quentin Braat,Real Oviedo,826568,2851
1,0,0.0,3,0,0.0,6,9,15,68.18,2,66.67,1,1,0,0,0,0,4,0,0,0,0,5,1,0,0,1,0,4,0,0,,,2,0,0.0,0,0,0,0,0,0,0,0,,7,70.0,0,0,0,7,0,0,0,1,60,0,,0,0,0,0,0.0,0,0,0,0,8,0,0,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,3,100.0,0,4,2,50.0,0,2,3,0,9,69.23,1,11,11,22,7.7,0,0,47,0,0,0,Carlos Clerc,Elche,192430,2846
2,0,0.0,1,9,50.0,8,15,23,71.88,0,0.0,0,1,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,,,0,0,0.0,10,0,0,0,0,0,0,0,,0,0.0,0,1,0,9,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,9,0,0,7.5,0,0,1,3,0,3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,3,0,0,0,0.0,18,17,15,32,7.5,0,0,40,0,0,0,Alfonso Pastor,Levante UD,872868,2849
15,42,25.61,435,25,41.67,677,190,825,70.03,7,26.92,19,41,17,0,0,2,142,27,16,32,3,17,41,0,0,64,35,212,0,1,,,26,0,14.41,0,16,33,44,41,3,15,1,,178,47.98,0,0,2,353,21,84,15,39,3351,17,,0,0,7,0,71.43,0,5,0,0,758,29,0,7.45,0,1,0,0,0,0,0,0,209.44,0.0,5,67,44,27,52,63,47.37,0,42,26,61.9,84,54,133,164,185,46.6,60,1097,245,1178,305.4,111,7,2095,73,8,0,Andrés Martín,Real Racing Club,922939,2835
55,59,30.26,318,55,47.83,567,243,751,74.43,26,37.68,43,35,6,0,0,1,140,10,2,18,3,24,35,0,0,54,34,220,0,0,,,44,0,11.11,0,10,16,27,23,4,8,2,,188,51.51,2,0,3,258,12,68,1,28,2467,9,,0,0,1,0,0.0,0,0,0,1,585,18,0,7.44,1,7,0,0,0,0,0,0,246.7,0.0,12,37,53,36,36,54,50.94,0,48,35,72.92,68,126,106,195,214,49.31,115,908,296,1009,260.4,90,6,1814,86,7,1,Javi Ontiveros,Cádiz,825750,4488
33,46,31.94,248,43,52.44,418,145,517,75.92,8,38.1,13,19,4,0,0,0,65,10,5,11,4,4,19,0,0,24,6,72,0,0,,,14,1,11.11,0,4,8,24,24,0,3,1,,45,43.27,0,0,1,164,5,63,4,18,1630,13,,0,1,0,0,0.0,0,0,0,0,338,24,0,7.44,0,0,0,0,0,0,0,0,407.5,9.09,11,16,20,14,11,9,37.5,0,14,8,57.14,62,79,24,144,53,42.4,82,661,164,681,141.3,36,3,1032,22,5,0,Lucas Pérez,Deportivo de A Coruña,107128,2832
35,3,16.67,213,33,64.71,351,194,542,74.04,49,43.75,63,41,8,0,1,1,82,10,27,35,8,26,41,0,0,58,9,231,0,0,,,51,0,15.98,0,27,35,54,47,7,25,2,,134,44.37,0,0,4,190,6,59,5,41,3643,13,,0,0,10,0,80.0,0,8,0,3,456,28,0,7.42,0,22,0,0,0,0,0,0,134.93,0.0,2,135,34,67,67,51,47.22,0,21,15,71.43,59,60,108,18,183,44.2,51,527,223,732,304.3,169,8,1444,63,9,0,Luis Javier Suárez,Almería,914213,2858
54,24,27.91,513,58,62.37,854,329,1159,81.39,6,18.75,26,42,11,0,0,0,183,23,5,17,5,7,42,0,0,69,34,189,0,0,,,28,0,14.58,0,7,18,32,30,2,6,1,,210,56.3,1,0,1,265,13,93,6,39,3398,5,,0,1,0,0,0.0,0,0,0,1,535,30,0,7.41,0,0,0,0,0,0,0,0,485.43,0.0,0,26,22,14,17,49,59.04,0,55,33,60.0,92,110,83,86,216,53.33,93,1136,374,1424,311.4,48,5,2113,107,4,0,Carlos Álvarez,Levante UD,1010656,2849
13,74,24.26,533,38,50.0,802,245,973,78.66,7,20.59,27,40,11,0,0,0,239,9,2,9,5,8,40,0,0,70,51,273,0,1,,,60,0,10.2,0,5,16,53,49,4,4,1,,219,47.1,0,0,1,264,18,122,0,38,3295,9,,0,1,2,0,100.0,0,2,0,0,741,45,0,7.4,0,5,0,0,0,0,0,0,659.0,0.0,0,28,21,21,19,96,57.14,0,77,50,64.94,121,33,168,305,226,45.29,76,1257,285,1237,295.8,49,5,2210,46,13,0,Cristian Carracedo,Córdoba,813737,2850
24,3,23.08,245,29,55.77,394,130,521,60.86,218,54.77,180,40,4,0,0,1,115,5,8,27,13,46,40,0,0,69,13,347,0,0,,,61,0,17.54,0,20,24,37,33,4,20,0,,132,44.15,6,0,2,335,13,46,4,40,3462,12,,0,0,4,0,75.0,0,3,0,1,592,34,0,7.36,0,10,0,0,0,0,0,0,173.1,0.0,0,90,24,40,47,29,42.03,0,15,10,66.67,46,40,69,13,350,50.22,52,699,170,856,294.5,114,6,1561,90,4,0,Joaquin Panichelli,Mirandés,1410925,35092
