accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
7,0,0.0,1,11,47.83,4,28,32,72.73,3,100.0,0,2,0,0,0,0,17,0,0,0,1,2,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,17,0,0,1,1,0,0,0,0.55,2,100.0,0,6,0,12,0,0,0,2,180,0,0.0,0,0,0,0,0.0,0,0,0,0,12,0,1,7.65,0,0,1,1,6,7,0,3,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,8,0,0,5,100.0,23,14,30,44,15.3,0,1,73,2,0,0,João Afonso,Santa Clara,1961855,3011
93,1,25.0,297,142,56.57,982,1256,2238,90.13,52,48.6,55,29,3,0,0,0,147,3,0,5,12,89,29,0,1,6,15,96,0,3,2.17,1.22,21,0,18.18,23,2,5,15,13,2,2,0,,76,64.96,2,0,0,245,28,17,0,29,2506,0,16.0,0,0,0,1,0.0,0,0,0,1,271,2,0,7.55,1,0,0,0,0,0,0,0,1253.0,0.0,0,9,2,3,3,8,88.89,0,45,26,57.78,17,188,9,4,128,57.14,251,1140,1343,2483,219.0,11,6,2780,23,4,0,Gonçalo Inácio,Sporting CP,1001196,3001
3,0,0.0,1,7,41.18,3,24,27,72.97,1,100.0,0,2,0,0,0,0,15,0,0,0,1,0,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,8,0,0,1,1,0,0,0,2.08,1,100.0,0,1,0,10,0,0,0,2,180,0,0.0,0,0,0,0,0.0,0,0,0,0,10,0,0,7.5,0,0,1,8,2,10,0,1,0.0,0.0,0,0,0,0,0,1,100.0,1,0,0,0.0,0,7,1,0,2,100.0,17,11,26,37,15.0,0,1,61,0,1,0,Samuel Soares,Benfica,983550,3006
1,0,0.0,18,2,66.67,30,22,52,83.87,2,100.0,0,2,0,0,0,0,5,0,0,1,1,5,1,0,0,0,0,2,0,0,0.03,0.08,1,0,0.0,0,0,0,0,0,0,0,0,,4,66.67,0,0,0,10,1,0,0,1,94,1,1.0,0,0,0,0,0.0,0,0,0,0,15,1,0,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,1,0,0,0.0,0,1,1,100.0,0,3,1,2,6,75.0,3,37,25,62,7.5,2,0,88,3,0,0,José Neto,Benfica,1961117,3006
17,1,20.0,169,13,52.0,289,155,444,74.5,31,44.29,39,32,6,0,0,2,53,13,26,25,7,15,32,0,0,36,12,158,0,0,5.58,23.3,43,0,20.59,0,28,34,20,18,2,26,2,,102,46.15,2,0,1,152,2,47,7,31,2698,5,2.0,0,0,6,0,66.67,0,4,0,1,313,20,0,7.4,0,18,0,0,0,0,0,0,96.36,0.0,2,110,26,51,60,36,48.65,0,16,6,37.5,47,35,74,5,133,45.7,25,411,185,596,236.9,136,8,1098,53,7,0,Luis Javier Suárez,Sporting CP,914213,3001
1,0,0.0,2,7,28.0,4,44,48,72.73,1,100.0,0,3,0,0,0,0,15,0,0,0,0,4,3,0,0,0,0,0,0,1,0.0,,0,0,0.0,19,0,0,3,2,1,0,0,1.59,0,0.0,0,1,0,18,0,0,0,3,270,0,0.0,0,0,0,0,0.0,1,0,0,0,18,0,2,7.4,0,0,1,9,0,9,0,4,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,3,0,0,1,100.0,25,16,50,66,22.2,0,0,93,0,0,0,Martin Turk,Estoril Praia,1083104,4500
49,1,100.0,182,85,59.03,821,1392,2213,92.25,140,72.92,52,32,0,0,0,0,152,0,1,2,16,174,32,0,0,5,4,92,0,1,1.19,0.95,37,0,15.38,13,2,2,15,14,1,2,0,,31,43.66,2,0,0,186,44,7,0,31,2690,0,24.0,0,0,0,0,0.0,0,0,0,0,209,2,0,7.39,0,0,0,0,0,0,0,0,1345.0,0.0,0,13,0,7,4,0,0.0,0,17,11,64.71,7,78,1,1,171,65.02,144,956,1443,2399,236.6,13,6,2765,16,8,0,Jan Bednarek,FC Porto,286085,3002
68,0,0.0,202,126,60.87,664,1071,1735,90.55,127,77.91,36,30,0,0,0,0,105,0,0,8,12,130,30,0,1,6,15,80,3,3,0.74,1.25,23,0,8.33,24,2,2,18,16,2,2,0,,90,67.16,2,0,0,181,40,9,0,30,2605,0,19.0,0,0,0,0,0.0,0,0,0,2,217,4,0,7.39,1,0,0,0,0,0,0,0,1302.5,0.0,0,23,1,10,6,9,81.82,0,45,29,64.44,9,121,11,6,217,73.06,207,798,1118,1916,221.8,24,6,2329,41,7,0,Nicolás Otamendi,Benfica,74915,3006
2,2,8.7,91,2,28.57,130,80,210,78.07,9,28.13,23,19,5,0,0,0,60,5,9,9,1,11,19,0,0,28,11,122,0,0,1.66,6.66,11,0,15.91,1,7,12,28,28,0,6,1,,105,51.47,0,0,2,59,2,21,5,17,1500,4,3.0,0,0,0,0,0.0,0,0,0,2,240,13,0,7.38,0,2,0,0,0,0,0,0,214.29,0.0,0,30,14,15,20,31,37.8,0,26,12,46.15,21,7,82,23,114,48.31,7,173,96,269,140.3,44,5,692,49,3,0,André Luiz,Rio Ave,1133282,3036
12,1,50.0,145,25,65.79,456,577,1033,94.86,21,50.0,21,16,2,0,0,0,54,2,0,2,4,42,15,0,0,1,6,47,0,1,0.87,0.37,14,0,40.0,1,2,4,12,11,1,2,0,,61,70.11,2,0,0,56,11,5,0,13,1186,0,3.0,0,0,0,0,0.0,0,0,0,0,73,0,0,7.37,0,0,0,0,0,0,0,0,593.0,0.0,0,5,0,1,2,11,61.11,0,40,20,50.0,5,21,18,2,82,63.57,38,484,605,1089,110.6,5,4,1266,10,2,0,Eduardo Quaresma,Sporting CP,989841,3001
