accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
1,0,0.0,0,6,37.5,4,20,24,70.59,2,100.0,0,1,0,0,0,0,15,0,0,0,1,4,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,3,0,0,0,0,0,0,0,0.63,0,0.0,0,2,0,10,0,0,0,1,90,0,0,0,0,0,0,0.0,0,0,0,0,10,0,2,8.3,0,0,2,3,1,4,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,2,0,0,2,100.0,16,11,23,34,8.3,0,0,51,0,0,0,Mathieu Gorgelin,RC Lens,123226,1648
4,0,0.0,4,31,40.26,21,82,103,69.13,2,100.0,0,4,0,0,0,0,37,0,0,0,1,5,4,0,0,0,0,0,0,0,0.0,,0,0,0.0,37,0,0,2,2,0,0,0,2.34,0,0.0,0,3,0,46,0,0,0,3,315,0,0,0,0,0,0,0.0,0,0,0,0,46,0,3,7.83,0,0,2,8,7,15,0,5,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,7,0,0,2,100.0,77,61,88,149,31.3,0,0,195,1,2,0,Lionel Mpasi Nzau,Le Havre,599192,1662
0,0,0.0,1,1,100.0,1,2,3,75.0,0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.16,0,0,100.0,0,1,1,0,0,0,1,0,,0,0.0,0,0,0,1,0,1,1,0,11,1,0,0,0,0,0,0.0,0,0,0,0,3,0,0,7.7,0,0,0,0,0,0,0,0,11.0,0.0,0,1,0,0,1,0,0.0,0,0,0,0.0,1,0,0,0,0,0.0,1,1,3,4,7.7,1,0,7,0,0,0,Mezian Mesloub,RC Lens,2199216,1648
8,0,0.0,1,16,34.04,4,96,100,74.07,0,0.0,0,5,0,0,0,0,35,0,0,0,4,3,5,0,0,0,1,1,0,0,0.0,,0,0,0.0,15,0,0,3,3,0,0,0,2.79,1,50.0,0,3,0,35,0,0,0,5,450,0,0,1,0,0,0,0.0,0,0,0,0,37,0,2,7.66,0,0,2,10,4,14,0,5,0.0,0.0,0,0,0,0,0,1,100.0,1,0,0,0.0,0,12,1,0,1,50.0,47,25,110,135,38.3,0,1,178,0,0,0,Rémy Descamps,Olympique Lyonnais,788180,1649
135,7,31.82,629,174,75.32,1497,1075,2572,93.77,4,57.14,3,29,7,0,0,0,137,8,0,10,10,22,29,0,0,10,14,43,0,2,3.74,1.06,14,0,2.94,0,1,8,19,14,5,0,1,,58,59.18,0,0,0,171,27,34,0,24,2121,0,5,0,0,0,0,0.0,0,0,0,0,227,17,0,7.58,0,1,0,0,0,0,0,0,2121.0,0.0,3,2,32,14,10,13,72.22,0,24,18,75.0,34,197,18,22,62,59.05,231,1634,1109,2743,219.8,34,6,2997,21,2,0,Vitinha,Paris Saint-Germain,902029,1644
4,2,28.57,16,2,66.67,28,9,37,88.1,0,0.0,0,3,2,0,0,0,6,2,0,1,0,1,3,0,0,1,1,6,0,0,0.81,0.15,0,0,50.0,0,1,3,2,2,0,1,0,,10,62.5,0,0,0,5,1,3,1,0,105,0,0,0,0,0,0,0.0,0,0,0,1,19,1,0,7.53,0,0,0,0,0,0,0,0,105.0,0.0,0,2,0,0,1,5,55.56,0,1,1,100.0,3,6,9,7,10,62.5,3,33,9,42,22.6,2,1,77,4,0,0,Dilane Bakwa,RC Strasbourg,963298,1659
28,12,24.49,332,30,78.95,505,114,619,83.09,2,33.33,4,22,7,1,0,0,25,9,4,7,0,3,22,0,0,12,3,37,0,1,4.5,6.6,3,0,22.22,0,10,17,8,5,3,9,1,,34,50.75,1,0,1,126,0,41,4,11,1062,8,0,0,0,3,0,66.67,0,2,0,0,205,10,0,7.42,0,5,0,0,0,0,0,0,106.2,0.0,1,31,14,20,18,24,61.54,0,6,3,50.0,41,37,39,49,36,49.32,38,622,123,745,163.2,45,5,940,4,0,0,Ousmane Dembélé,Paris Saint-Germain,818244,1644
56,21,19.09,409,79,72.48,756,475,1231,86.08,2,12.5,14,29,4,0,1,0,132,7,4,9,2,7,29,0,0,46,19,132,0,0,6.02,6.55,15,0,18.0,0,9,13,38,35,3,7,2,,124,51.24,0,0,1,199,8,61,7,26,2229,3,0,0,1,4,0,75.0,0,3,0,1,427,24,0,7.39,0,2,0,0,0,0,0,0,247.67,0.0,0,30,20,21,20,32,45.07,0,32,17,53.13,60,91,71,110,126,48.84,109,913,517,1430,214.2,50,4,1948,61,7,0,Ilan Kebbal,Paris FC,1049442,6070
67,28,25.45,440,77,65.25,745,277,1022,81.69,2,22.22,7,32,7,1,0,1,82,13,4,29,3,3,32,0,0,27,18,124,0,0,5.81,14.39,22,0,13.91,0,16,23,36,36,0,13,3,,103,46.82,0,0,3,229,4,61,5,29,2469,1,1,0,2,8,0,75.0,0,6,0,1,465,15,0,7.37,0,11,0,0,0,0,0,0,154.31,0.0,8,64,51,38,48,54,51.43,0,15,14,93.33,59,121,105,110,105,45.85,118,932,319,1251,235.9,115,7,1802,34,4,0,Mason Greenwood,Olympique de Marseille,942116,1641
3,0,0.0,3,10,23.26,7,21,28,45.9,1,100.0,0,3,0,0,0,0,26,0,0,0,1,6,3,0,0,0,0,0,0,0,0.0,,0,0,0.0,18,0,0,2,1,1,0,0,0.18,1,100.0,0,3,0,33,0,0,0,2,188,0,0,0,0,0,0,0.0,0,0,0,0,33,0,4,7.37,0,0,3,9,2,11,0,2,0.0,0.0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,13,0,0,2,100.0,43,36,25,61,22.1,0,1,95,1,0,0,Patrik Carlgren,Nantes,156236,1647
74,0,0.0,12,142,36.88,51,548,599,70.14,7,87.5,1,30,0,0,0,0,308,0,0,0,10,27,30,0,0,0,0,2,1,3,0.02,,1,0,0.0,175,0,0,36,34,2,0,0,11.92,12,92.31,0,39,0,255,0,0,0,30,2659,0,0,0,0,0,1,0.0,6,0,2,0,265,0,9,7.35,0,0,13,77,45,123,2,29,0.0,0.0,0,0,0,0,0,0,0.0,12,2,2,100.0,0,119,0,0,19,90.48,385,220,634,854,220.6,0,4,1224,11,1,0,Hervé Koffi,Angers,867299,1684
