accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
1,0,0.0,0,5,23.81,3,10,13,44.83,1,100.0,0,1,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,,0,0,0.0,14,0,0,0,0,0,0,0,0.74,0,0.0,0,0,0,16,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,16,0,0,7.6,0,0,1,3,1,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1,0,0,1,100.0,21,18,11,29,7.6,0,0,39,1,0,0,Juan Musso,Atalanta,263651,2686,GK
9,0,0.0,30,22,66.67,134,333,467,92.84,12,63.16,7,6,0,0,0,0,23,0,0,1,6,14,6,0,0,2,1,20,0,0,0.06,0.13,9,0,0.0,1,0,0,0,0,0,0,0,,22,62.86,0,0,0,36,6,0,0,6,540,0,,0,0,0,0,0.0,0,0,0,0,43,0,0,7.57,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,2,0,3,75.0,0,15,7,46.67,0,16,4,0,34,62.96,33,153,350,503,45.4,3,3,582,5,1,0,Gleison Bremer,Juventus,885197,2687,DF
0,0,0.0,0,3,37.5,1,12,13,72.22,0,0.0,0,1,0,0,0,0,5,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,,0,0,0.0,2,0,0,0,0,0,0,0,0.74,0,0.0,0,1,0,5,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,5,0,0,7.5,0,0,0,2,1,3,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,8,5,13,18,7.5,0,0,24,0,0,0,Daniele Padelli,Udinese,2899,2695,GK
7,0,0.0,0,12,32.43,6,33,39,60.94,0,0.0,0,2,0,0,0,0,17,0,0,0,0,2,2,0,0,0,0,0,0,0,0.0,,0,0,0.0,19,0,0,2,2,0,0,0,0.38,0,0.0,0,0,0,25,1,0,0,2,153,0,,0,0,0,0,0.0,0,0,0,0,25,0,1,7.45,0,0,0,7,3,10,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,10,0,0,0,0.0,37,29,35,64,14.9,0,1,87,0,0,0,Benjamin Siegrist,Genoa,137773,2713,GK
68,53,43.44,378,96,66.21,830,631,1408,90.2,16,45.71,19,29,6,0,1,0,110,11,1,14,1,22,29,0,0,9,15,67,0,0,5.6,4.4,22,0,10.87,0,5,11,20,18,2,3,2,,59,55.14,0,0,1,153,18,50,0,26,1961,0,,0,1,4,1,75.0,0,3,0,0,260,8,0,7.41,0,5,0,0,0,0,0,0,392.2,0.0,6,11,35,17,15,3,42.86,0,43,23,53.49,49,118,7,122,75,52.82,145,1013,670,1561,214.8,46,3,1918,13,5,0,Hakan Çalhanoğlu,Inter,135700,2697,MF
37,23,37.1,241,36,72.0,440,153,570,86.49,8,32.0,17,24,3,0,0,0,63,8,6,13,1,2,23,0,0,28,11,78,0,0,5.17,6.34,6,0,12.0,0,6,9,15,14,1,5,1,,88,59.06,0,0,3,89,2,40,5,16,1420,6,,0,0,3,0,100.0,0,3,0,2,221,12,0,7.39,0,1,0,0,0,0,0,0,236.67,0.0,6,27,23,18,19,11,39.29,0,17,7,41.18,40,53,28,62,96,55.17,50,558,163,659,169.9,50,4,998,60,2,0,Paulo Dybala,AS Roma,256219,2702,FW
3,0,0.0,1,12,44.44,5,68,73,82.02,1,100.0,0,3,0,0,0,0,23,0,0,0,1,3,3,0,0,0,0,0,0,0,0.0,,0,0,0.0,18,0,0,3,3,0,0,0,1.73,0,0.0,0,0,0,16,0,0,0,3,270,0,,0,0,0,0,0.0,0,0,0,0,16,0,1,7.37,0,0,4,9,3,12,0,1,0.0,0.0,0,0,0,0,0,0,0.0,4,0,0,0.0,0,8,0,0,1,100.0,27,15,74,89,22.1,0,1,116,0,0,0,Rui Patrício,Atalanta,17737,2686,GK
41,30,19.23,338,32,60.38,625,231,826,84.89,20,47.62,22,34,6,0,0,0,86,7,5,12,2,16,34,0,0,40,16,146,0,2,4.05,6.29,35,0,16.67,0,8,14,37,33,4,7,1,,179,59.08,1,0,2,147,29,55,1,33,2705,9,,0,0,2,0,100.0,0,2,0,0,412,8,0,7.34,0,6,0,0,0,0,0,0,338.13,0.0,2,32,16,19,17,44,54.32,0,38,27,71.05,55,72,81,156,199,57.68,53,877,252,973,249.6,48,5,1634,98,10,0,Mattia Zaccagni,Lazio,293581,2699,MF
14,4,26.67,198,14,66.67,324,114,434,78.06,51,42.15,70,36,8,0,0,1,69,6,18,20,2,17,36,0,0,48,13,167,0,0,2.21,19.24,32,0,24.04,0,25,33,28,25,3,24,1,,60,38.22,5,0,2,122,4,38,10,32,2402,6,,0,0,5,0,80.0,0,4,0,2,293,17,0,7.33,0,10,0,0,0,0,0,0,96.08,0.0,2,96,8,46,38,12,50.0,0,14,9,64.29,38,19,24,15,111,39.93,21,441,130,556,263.9,104,10,970,34,2,0,Mateo Retegui,Atalanta,914501,2686,FW
14,38,30.65,341,8,44.44,534,141,637,79.03,18,56.25,14,31,5,0,0,0,69,12,13,22,2,5,31,0,0,51,8,166,0,1,7.89,10.37,31,0,18.29,0,15,20,23,20,3,13,2,,88,36.67,1,0,5,169,3,63,5,28,2263,26,,0,2,1,0,100.0,0,1,0,0,449,11,0,7.32,0,9,0,0,0,0,0,0,150.87,0.0,0,67,15,25,35,37,36.63,0,32,15,46.88,61,25,101,124,106,38.97,18,765,165,806,226.9,82,7,1382,20,4,0,Ademola Lookman,Atalanta,824200,2686,MF
