accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id
31,7,19.44,262,38,65.52,494,301,788,84.28,26,72.22,10,26,2,0,0,0,154,12,6,14,2,17,26,0,0,38,10,114,1,0,5.95,6.65,30,1,20.69,0,12,14,21,19,2,6,6,,137,56.85,1,0,0,147,30,41,1,22,1919,3,,0,0,0,0,0,0,0,0,0,308,28,0,7.69,0,10,0,0,0,0,0,0,159.92,16.67,6,30,28,19,25,42,60.87,0,59,39,66.1,41,50,69,36,163,58.84,58,648,323,935,199.9,58,6,1469,36,2,0,Malik Tillman,PSV Eindhoven,975798,2952
113,50,29.24,553,117,70.91,967,429,1346,86.78,17,62.96,10,27,8,0,0,0,117,15,4,5,2,35,27,0,0,14,28,76,0,0,9.79,2.91,18,0,3.23,0,1,9,24,23,1,1,0,,52,44.07,0,0,3,205,8,72,0,22,1832,0,,0,1,0,0,0,0,0,0,0,365,12,0,7.65,0,1,0,0,0,0,0,0,1832.0,0.0,1,16,15,11,15,10,58.82,0,35,22,62.86,71,177,17,171,69,47.59,165,1262,460,1551,206.6,31,7,1967,8,3,0,Joey Veerman,PSV Eindhoven,850816,2952
30,36,22.78,366,32,47.76,583,154,701,77.98,27,42.86,36,34,10,0,0,0,107,12,11,17,9,32,34,0,0,24,16,171,1,3,6.71,10.56,20,0,16.67,0,16,26,33,29,4,14,2,,151,52.8,3,0,2,198,12,71,0,34,2881,6,,0,1,0,0,0,0,0,0,0,496,26,0,7.61,0,13,0,0,0,0,0,0,180.06,0.0,6,58,38,36,43,57,43.18,0,43,26,60.47,70,62,132,158,178,51.0,67,869,188,899,258.6,96,9,1635,53,0,0,Igor Paixão,Feyenoord,981815,2959
178,4,23.53,573,244,62.56,1286,1177,2459,88.2,37,60.66,24,30,6,0,0,0,172,8,0,2,8,100,30,0,0,7,9,58,1,0,5.33,1.52,18,0,5.56,29,1,7,28,25,3,1,0,,86,71.67,0,0,1,329,38,30,0,30,2572,1,,0,0,0,0,0,0,0,0,0,379,5,0,7.55,0,1,0,0,0,0,0,0,2572.0,0.0,1,4,14,12,4,5,83.33,0,58,37,63.79,30,290,6,17,123,67.96,390,1547,1258,2788,226.5,18,7,3156,24,2,0,Olivier Boscagli,PSV Eindhoven,788784,2952
22,30,26.32,492,30,68.18,728,145,843,82.57,6,31.58,13,29,10,0,0,0,102,8,5,23,1,7,29,0,0,27,12,116,0,0,9.55,5.45,10,0,17.46,0,11,21,23,21,2,10,1,,78,43.09,0,0,3,178,6,60,2,23,1914,2,,0,1,0,0,0,0,0,0,0,404,18,0,7.52,0,9,0,0,0,0,0,0,174.0,0.0,0,46,17,16,24,30,35.29,0,22,16,72.73,59,43,85,114,84,42.0,44,971,164,1021,218.0,63,4,1521,26,1,0,Noa Lang,PSV Eindhoven,875136,2952
27,38,24.84,281,36,65.45,504,201,667,80.95,18,50.0,18,27,8,0,0,0,78,12,5,10,0,21,27,0,0,16,21,83,0,0,6.68,4.77,17,0,21.43,0,9,17,30,28,2,7,2,,45,40.91,2,0,1,157,6,42,5,21,1804,5,,0,1,0,0,0,0,0,0,1,341,15,0,7.44,0,2,0,0,0,0,0,0,200.44,0.0,0,30,12,13,19,15,53.57,0,23,18,78.26,41,50,28,153,63,43.15,55,753,224,824,200.9,42,5,1258,7,4,0,Ivan Perišić,PSV Eindhoven,38710,2952
15,5,31.25,280,22,64.71,491,246,732,85.61,12,46.15,14,29,11,0,0,0,87,6,10,26,1,15,29,0,0,28,15,110,0,1,5.56,11.24,25,0,13.1,0,11,22,22,20,2,10,1,,88,47.83,0,0,2,123,12,41,4,20,1786,5,,0,0,0,0,0,0,0,0,0,257,17,0,7.43,0,7,0,0,0,0,0,0,162.36,0.0,0,59,25,21,37,29,49.15,0,39,19,48.72,41,27,59,16,100,47.62,34,608,263,855,215.6,84,7,1260,20,2,0,Ismael Saibari,PSV Eindhoven,1063767,2952
7,0,0.0,6,34,44.74,21,64,85,66.93,0,0.0,1,3,0,0,0,0,28,0,0,0,0,6,3,0,0,0,0,1,0,0,0.01,,0,0,0.0,35,0,0,9,7,2,0,0,0.39,0,0.0,0,3,0,42,0,0,0,3,270,0,,0,0,0,0,0,1,0,0,0,43,0,2,7.43,0,0,2,14,3,17,0,3,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,9,0,0,0,0.0,76,58,69,127,22.3,0,1,164,0,0,0,Yanick van Osch,RKC Waalwijk,361764,2956
20,0,0.0,266,16,69.57,412,170,582,74.52,144,62.07,88,31,8,1,1,0,61,16,24,16,2,38,31,0,0,23,20,150,0,0,5.92,17.74,15,0,14.29,0,14,22,32,30,2,14,0,,47,43.12,4,0,3,199,5,57,3,29,2452,5,,0,2,4,0,50,0,2,0,0,305,25,0,7.43,0,7,0,0,0,0,0,0,175.14,0.0,0,95,3,52,30,5,33.33,0,23,13,56.52,55,30,15,6,191,56.01,23,595,192,781,230.2,98,5,1150,23,3,0,Luuk de Jong,PSV Eindhoven,40878,2952
3,0,0.0,65,2,66.67,104,29,133,86.36,3,60.0,2,9,2,0,0,0,27,0,0,3,1,1,8,0,0,6,3,22,0,0,0.77,2.52,5,0,26.67,0,4,6,3,3,0,3,1,,22,52.38,0,0,0,21,1,5,1,2,283,3,,0,0,0,0,0,0,0,0,0,54,2,0,7.43,0,3,0,0,0,0,0,0,70.75,0.0,0,10,5,6,6,6,46.15,0,8,7,87.5,5,5,13,8,25,53.19,3,130,32,154,59.4,15,2,242,8,0,0,Hirving Lozano,PSV Eindhoven,385320,2952
7,0,0.0,1,25,35.71,11,39,50,52.63,0,0.0,0,3,0,0,0,0,24,0,0,0,2,6,3,0,0,0,0,0,0,0,0.0,,0,0,0.0,24,0,0,1,1,0,0,0,2.33,0,0.0,0,0,0,45,0,0,0,3,270,0,,0,0,0,0,0,1,0,0,0,46,0,2,7.37,0,0,3,6,3,9,0,3,0.0,0.0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,11,0,0,0,0.0,70,46,49,95,22.1,0,0,124,0,0,0,Michael Brouwer,FC Utrecht,252027,2948
36,7,26.92,225,29,47.54,350,268,611,76.86,18,40.0,27,33,7,0,0,0,97,6,6,25,4,21,33,0,0,31,17,111,0,0,5.42,15.08,15,1,25.81,0,24,31,46,41,5,21,3,,41,32.8,4,0,2,184,10,39,2,32,2772,6,,0,0,6,0,100,0,6,0,0,308,14,0,7.36,0,18,0,0,0,0,0,0,115.5,11.11,9,63,30,24,44,15,40.54,0,12,8,66.67,39,73,37,26,59,34.71,61,511,310,795,243.0,93,7,1165,14,3,0,Sem Steijn,FC Twente,944467,2955
