accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
132,15,28.85,304,109,66.87,730,832,1547,89.99,16,39.02,25,34,3,0,0,0,131,3,0,6,8,33,34,0,0,10,23,94,1,1,,,27,0,0.0,0,0,3,32,30,2,0,0,,101,59.41,0,0,1,172,24,36,0,30,2539,0,,0,0,0,0,0.0,0,0,0,0,254,5,0,7.02,0,0,0,0,0,0,0,0,0.0,0.0,2,5,10,7,2,6,37.5,0,37,24,64.86,36,207,16,52,117,55.45,163,903,868,1719,238.6,15,1,2061,58,6,0,Jacopo Petriccione,Catanzaro,573596,2796,MF
41,6,50.0,204,40,52.63,431,369,794,85.01,29,45.31,35,25,0,0,0,0,108,0,2,15,2,63,25,0,0,8,15,84,0,0,,,19,0,13.64,7,3,3,32,27,5,3,0,,70,58.82,1,0,0,140,28,13,0,23,1893,1,,0,0,0,0,0.0,0,0,0,0,185,9,0,7.02,0,2,0,0,0,0,0,0,631.0,0.0,0,12,10,2,5,16,69.57,0,38,19,50.0,13,76,23,12,99,54.1,76,542,404,934,175.4,22,1,1246,18,3,0,Melle Meulensteen,Sampdoria,891795,2711,MF
42,7,28.0,279,54,40.6,556,488,1037,80.51,46,52.87,41,34,0,0,0,0,180,2,0,6,5,78,34,0,0,17,24,151,0,0,,,58,0,13.79,0,4,4,42,34,8,2,2,,137,55.47,0,0,0,251,36,21,0,33,2770,1,,0,0,0,0,0.0,0,0,0,0,327,11,0,7.01,0,4,0,0,0,0,0,0,692.5,0.0,0,15,14,12,11,18,58.06,0,82,47,57.32,21,86,31,25,183,54.79,133,738,575,1288,238.4,29,1,1780,40,11,0,Simone Santoro,Modena,898951,2706,MF
27,13,21.67,154,24,27.59,248,127,362,64.64,38,50.0,38,29,1,0,0,0,69,6,4,7,4,34,29,0,0,2,20,102,0,0,,,29,0,13.89,0,5,6,18,13,5,5,0,,61,48.8,0,0,0,198,20,24,3,19,1739,1,,0,0,0,0,0.0,0,0,0,0,320,11,0,7.01,1,2,0,0,0,0,0,0,347.8,0.0,0,27,9,15,14,6,30.0,0,35,21,60.0,24,70,20,60,99,49.25,87,455,165,560,203.3,36,1,1003,22,7,1,Luca Vignali,Spezia,814842,2735,MF
16,19,35.85,168,28,62.22,302,129,412,77.88,41,36.94,70,36,3,0,0,1,68,7,3,15,0,31,36,0,0,25,8,149,0,1,,,39,0,8.62,0,5,8,29,25,4,5,0,,88,52.69,0,0,5,117,5,39,0,27,2229,2,,0,0,1,1,0.0,0,0,0,2,264,9,0,7.01,0,5,0,0,0,0,0,0,445.8,0.0,5,41,17,27,16,15,51.72,0,16,11,68.75,39,28,29,53,129,46.4,45,434,148,529,252.3,58,0,946,57,3,0,Giuseppe Ambrosino,Frosinone,1163083,2801,FW
16,1,16.67,151,30,90.91,258,105,362,84.38,4,28.57,10,26,1,0,0,0,32,3,5,9,1,4,25,0,0,14,7,63,0,0,,,25,0,12.24,0,6,7,16,14,2,6,0,,48,47.52,1,0,0,67,2,14,5,18,1321,2,,0,0,0,0,0.0,0,0,0,0,115,8,0,7.01,0,0,0,0,0,0,0,0,220.17,0.0,0,40,9,19,21,7,46.67,0,15,6,40.0,14,22,15,6,52,45.22,33,316,119,429,175.2,49,1,610,28,2,0,Federico Bonazzoli,Cremonese,284363,2761,FW
44,13,36.11,374,44,48.89,797,887,1671,90.72,22,37.93,36,35,1,0,0,0,154,3,0,7,7,51,35,0,1,36,22,161,1,0,,,60,0,5.71,0,2,3,51,41,10,2,0,,152,54.87,0,0,2,171,23,42,0,34,3062,0,,0,0,0,0,0.0,0,0,0,2,297,10,0,7.01,1,2,0,0,0,0,0,0,1531.0,0.0,0,9,26,15,13,18,54.55,0,45,17,37.78,42,70,33,36,174,51.94,90,930,948,1842,245.2,35,0,2367,93,8,0,Simone Trimboli,Mantova,965016,2770,MF
66,0,0.0,45,215,33.91,99,605,704,62.36,10,90.91,1,36,0,0,0,0,237,0,0,0,8,20,36,1,0,1,0,3,0,1,,,1,0,0.0,235,0,0,43,39,4,0,0,,4,66.67,0,24,0,425,0,1,0,36,3240,0,,0,0,0,1,0.0,6,0,2,0,427,0,9,7.01,0,0,8,69,33,102,1,24,0.0,0.0,0,0,0,0,0,0,0.0,8,0,0,0.0,1,129,0,0,14,82.35,634,436,693,1129,252.2,0,1,1427,4,4,0,Michele Cerofolini,Frosinone,869273,2801,GK
20,17,22.67,117,20,50.0,224,117,324,79.22,3,14.29,18,19,4,0,0,0,49,7,1,11,0,5,19,0,0,15,7,72,0,0,,,26,0,8.7,0,2,6,17,16,1,2,0,,55,50.46,1,0,0,85,3,25,0,13,1177,1,,0,0,0,0,0.0,0,0,0,0,202,6,0,7.01,0,1,0,0,0,0,0,0,588.5,0.0,0,13,10,7,5,8,53.33,0,21,10,47.62,25,44,15,75,58,44.62,40,351,133,409,133.1,23,1,678,26,1,0,Nicola Mosti,Juve Stabia,839483,5324,MF
18,0,0.0,14,103,41.53,59,394,453,75.12,9,100.0,0,21,0,0,0,0,168,0,0,0,6,26,21,0,0,0,1,1,2,1,,,0,0,0.0,111,0,0,21,17,4,0,0,,2,66.67,0,12,0,150,0,0,0,20,1853,0,,0,0,0,0,0.0,1,0,0,0,153,0,16,7.0,0,0,10,33,22,57,0,10,0.0,0.0,0,0,0,0,0,0,0.0,10,0,0,0.0,0,31,0,0,11,91.67,248,163,440,603,147.1,0,2,817,5,1,0,Sebastiano Desplanches,Palermo,1068715,2715,GK
22,5,25.0,226,24,66.67,515,403,913,91.12,10,41.67,14,23,1,0,0,0,83,0,0,0,0,16,23,0,0,5,8,50,0,1,,,19,0,0.0,0,0,1,21,18,3,0,0,,71,66.36,0,0,0,89,17,20,0,19,1421,0,,0,0,0,0,0.0,0,0,0,1,148,8,0,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,4,7,1,9,60.0,0,20,12,60.0,20,43,15,20,81,61.83,36,597,425,1002,161.1,8,0,1222,42,2,0,Andrea Ghion,Sassuolo,928879,2793,MF
37,2,28.57,118,95,48.72,381,1009,1388,85.89,106,60.57,69,36,0,0,0,0,95,0,3,2,8,202,36,0,0,2,5,106,1,0,,,30,0,0.0,10,0,0,45,39,6,0,0,,67,64.42,0,0,1,228,35,8,0,35,3100,0,,1,0,0,0,0.0,0,0,0,0,263,1,0,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0,11,0,9,0,3,50.0,0,40,30,75.0,8,73,6,7,173,62.01,195,523,1100,1616,252.1,11,2,2070,27,4,0,Andrea Meroni,Reggiana,848566,24516,DF
45,31,25.0,261,67,38.51,436,303,708,71.52,46,50.55,45,37,3,0,0,0,155,8,1,5,4,88,37,0,0,12,30,146,0,0,,,42,0,21.05,0,4,7,49,43,6,3,1,,132,56.65,0,0,0,282,17,34,1,36,3004,2,,0,1,0,0,0.0,0,0,0,0,486,10,0,7.0,0,2,0,0,0,0,0,0,751.0,0.0,0,13,6,8,6,17,47.22,0,74,47,63.51,33,97,36,124,178,54.94,174,750,364,990,259.1,19,3,1680,44,6,0,Salvatore Molina,Südtirol,165735,2760,MF
18,1,33.33,67,27,65.85,151,84,234,85.4,2,25.0,6,9,1,0,0,0,37,1,0,5,1,7,9,0,1,19,3,60,0,0,,,21,0,4.76,0,1,2,7,6,1,0,1,,49,47.57,0,0,0,40,6,11,1,8,688,0,,0,0,0,0,0.0,0,0,0,0,88,4,0,7.0,1,0,0,0,0,0,0,0,688.0,0.0,1,4,17,12,4,10,47.62,0,16,10,62.5,11,28,21,3,51,45.95,41,184,93,274,63.0,21,1,431,23,2,0,Ben Lhassine Kone,Frosinone,915280,2801,MF
1,2,50.0,15,1,100.0,23,6,27,87.1,0,0.0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,,2,66.67,0,0,0,4,0,2,0,0,30,0,,0,0,0,0,0.0,0,0,0,0,7,1,0,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,2,2,1,4,2,40.0,1,28,7,31,7.0,0,0,38,2,0,0,Filippo Falco,Carrarese,142037,2745,FW
42,43,25.29,237,45,40.18,455,331,743,76.68,33,45.83,39,34,8,0,0,0,134,9,2,11,8,58,34,0,0,22,23,167,0,0,,,32,0,6.98,0,3,11,38,35,3,2,1,,121,48.59,0,0,2,226,16,54,3,31,2736,4,,0,0,0,0,0.0,0,0,0,0,502,5,0,7.0,0,0,0,0,0,0,0,0,912.0,0.0,3,21,22,17,15,44,44.0,0,33,20,60.61,54,91,100,170,154,47.98,112,725,414,969,237.9,43,1,1770,44,9,0,Manuel Cicconi,Carrarese,806058,2745,MF
14,0,0.0,20,35,51.47,100,456,556,90.11,53,68.83,24,16,0,0,0,0,40,0,1,3,4,109,16,0,0,0,2,35,0,1,,,10,0,0.0,11,0,0,16,13,3,0,0,,26,70.27,0,0,0,61,16,4,0,14,1217,1,,1,0,0,0,0.0,0,0,0,0,70,0,0,6.99,0,0,0,0,0,0,0,0,0.0,0.0,0,6,1,1,3,1,50.0,0,12,10,83.33,4,29,2,0,79,69.3,68,134,483,617,111.9,7,2,815,13,3,0,Paolo Rozzio,Reggiana,131604,24516,DF
25,4,22.22,215,34,49.28,442,299,737,85.4,16,47.06,18,25,1,0,0,0,112,2,0,5,3,37,25,0,0,12,23,77,0,0,,,22,0,0.0,0,0,1,30,27,3,0,0,,82,58.16,0,0,0,126,25,15,0,20,1803,0,,0,0,0,1,0.0,0,0,0,0,179,11,0,6.99,0,0,0,0,0,0,0,0,0.0,0.0,0,4,12,7,4,5,45.45,0,52,36,69.23,15,51,11,18,98,56.0,69,553,328,863,174.8,16,0,1180,27,5,0,Gerard Yepes,Sampdoria,1067220,2711,MF
16,3,12.0,167,33,42.86,387,248,632,73.4,135,57.69,99,37,0,0,0,0,115,2,2,9,3,74,37,0,0,24,26,219,0,2,,,60,0,9.09,0,4,4,46,39,7,4,0,,164,57.75,1,0,0,229,36,27,2,33,2872,4,,0,0,0,0,0.0,0,0,0,1,346,8,0,6.99,0,1,0,0,0,0,0,0,718.0,0.0,0,33,11,19,16,13,41.94,0,76,48,63.16,27,39,31,25,299,57.72,77,586,300,861,258.7,44,2,1428,78,5,0,Alessandro Sersanti,Reggiana,964713,24516,MF
78,32,22.07,253,132,49.07,596,715,1279,83.54,20,45.45,24,34,4,0,0,0,116,3,0,9,5,43,34,0,1,13,23,92,0,0,,,28,0,6.06,0,2,6,35,33,2,1,1,,92,57.5,0,0,0,252,19,48,0,31,2532,1,,0,0,0,0,0.0,0,0,0,0,417,8,0,6.99,1,2,0,0,0,0,0,0,1266.0,0.0,10,5,28,15,9,6,46.15,0,34,24,70.59,48,170,13,145,112,54.9,269,901,775,1531,237.7,33,1,1997,52,9,0,Giacomo Calò,Cesena,839487,2742,MF
93,0,0.0,14,191,43.91,67,1196,1263,83.2,9,100.0,0,38,0,0,0,0,241,1,0,0,8,22,38,0,0,0,1,1,2,1,,,0,0,0.0,185,0,0,56,45,11,0,0,,1,50.0,0,20,0,255,0,2,0,38,3420,0,,1,0,0,0,0.0,2,0,0,0,260,0,6,6.99,0,0,13,74,44,118,0,25,0.0,0.0,0,0,0,0,0,0,0.0,13,0,0,0.0,2,126,0,0,10,90.91,435,197,1321,1518,265.6,0,2,1800,2,2,0,Marco Festa,Mantova,176765,2770,GK
22,0,0.0,98,71,53.38,344,686,1030,87.07,57,59.38,39,29,0,0,0,0,97,0,5,6,7,128,29,0,0,7,5,85,0,0,,,31,0,8.33,15,2,2,29,22,7,2,0,,51,52.58,2,0,0,153,25,4,0,26,2337,0,,0,0,0,1,0.0,0,0,0,0,187,2,0,6.99,0,0,0,0,0,0,0,0,1168.5,0.0,0,19,5,6,12,4,50.0,0,32,19,59.38,4,53,8,0,108,55.96,133,453,730,1183,202.6,24,2,1521,15,3,0,Rayyan Baniya,Palermo,929739,2715,DF
69,3,25.0,142,89,44.5,422,969,1388,86.8,63,56.25,49,28,1,0,0,0,100,2,2,6,5,129,28,0,0,6,26,133,0,0,,,46,0,10.71,1,3,4,37,29,8,2,1,,91,52.0,2,0,0,211,21,17,1,27,2218,0,,0,0,0,0,0.0,0,0,0,0,250,2,0,6.99,1,0,0,0,0,0,0,0,739.33,0.0,0,21,7,14,8,12,60.0,0,52,32,61.54,17,129,20,12,154,53.66,200,551,1060,1599,195.6,28,2,1998,29,6,1,Fabrizio Brignani,Mantova,823496,2770,DF
36,2,15.38,91,60,47.62,247,426,671,83.35,47,55.29,38,21,1,0,0,0,53,2,0,0,4,96,21,0,0,1,9,82,0,1,,,33,0,0.0,0,0,1,18,16,2,0,0,,64,59.26,0,0,0,134,23,6,0,17,1536,2,,0,0,0,0,0.0,0,0,0,0,163,2,0,6.99,0,0,0,0,0,0,0,0,0.0,0.0,0,1,2,3,0,3,75.0,0,41,22,53.66,6,72,4,13,111,57.51,126,348,470,805,146.7,3,1,1073,23,4,0,Fabio Ruggeri,US Salernitana 1919,1165179,2710,DF
34,25,31.65,184,21,47.73,311,110,396,66.78,19,50.0,19,32,5,0,0,0,114,7,4,8,3,19,32,0,0,53,34,205,1,0,,,47,0,12.5,0,5,10,30,25,5,4,1,,183,49.59,0,0,3,197,17,40,4,26,2251,9,,0,0,0,0,0.0,0,0,0,1,488,22,0,6.98,0,1,0,0,0,0,0,0,450.2,0.0,0,23,17,17,15,48,45.71,0,82,43,52.44,40,68,105,79,202,49.63,44,523,149,593,223.5,40,3,1292,53,10,0,Antonio Vergara,Reggiana,1069560,24516,FW
