,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
666,Tommy Simkin,eng ENG,GK,Stoke City,20,2004,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ae7f5d8a
667,Ellis Simms,eng ENG,FW,Coventry City,24,2001,43,15,1649,18.3,13,2,15,13,0,0,1,0,0.71,0.11,0.82,0.71,0.82,Matches,26d3b5be
668,Olutayo Singerr,eng ENG,FW,Portsmouth,17,2007,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,68a3ba78
669,Moussa Sissoko,fr FRA,MFFW,Watford,35,1989,20,8,746,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2acd49b9
670,Oliver Skipp,eng ENG,MF,Leicester City,24,2000,34,32,2646,29.4,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches,6250083a
671,Regan Slater,eng ENG,MF,Hull City,25,1999,42,35,3150,35.0,2,2,4,2,0,0,7,0,0.06,0.06,0.11,0.06,0.11,Matches,ba4d4908
672,Thierry Small,eng ENG,MFDF,Preston,20,2004,41,27,2491,27.7,3,2,5,3,0,0,5,0,0.11,0.07,0.18,0.11,0.18,Matches,6f487e5d
673,William Smallbone,ie IRL,MF,Millwall,25,2000,10,4,335,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5e105217
674,Milan Smit,nl NED,FW,Stoke City,22,2003,13,6,521,5.8,2,1,3,1,1,1,0,0,0.35,0.17,0.52,0.17,0.35,Matches,a61ff812
675,Michael Smith,eng ENG,FW,Preston,33,1991,37,13,1470,16.3,3,1,4,3,0,0,2,0,0.18,0.06,0.24,0.18,0.24,Matches,b93da142
676,Sam Smith,eng ENG,FW,Wrexham,27,1998,40,16,1547,17.2,8,2,10,8,0,0,6,0,0.47,0.12,0.58,0.47,0.58,Matches,231a0b44
677,Tylon Smith,za RSA,DF,QPR,20,2005,3,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18820ad7
678,Paul Smyth,nir NIR,MF,QPR,27,1997,36,21,1854,20.6,6,2,8,6,0,0,8,0,0.29,0.10,0.39,0.29,0.39,Matches,0747000e
679,Jhon Solis,co COL,MF,Birmingham City,20,2004,17,13,1080,12.0,1,0,1,1,0,0,5,1,0.08,0.00,0.08,0.08,0.08,Matches,1282939a
680,Boubakary Soumaré,fr FRA,MF,Leicester City,26,1999,16,9,889,9.9,0,2,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches,ae59b359
681,Djibril Soumaré,sn SEN,MF,Sheffield United,22,2003,25,13,1081,12.0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,9bac437a
682,Harry Souttar,au AUS,DF,Leicester City,26,1998,2,2,177,2.0,1,0,1,1,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches,0a6cb1b1
683,Brodie Spencer,nir NIR,DFMF,Oxford United,21,2004,29,23,2146,23.8,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches,4fb40948
684,Tony Springett,ie IRL,MFDF,Norwich City,22,2002,15,7,567,6.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,35be8087
685,Jack Stacey,eng ENG,DFMF,Norwich City,29,1996,36,22,2021,22.5,2,1,3,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13,Matches,558807c0
686,Marko Stamenic,nz NZL,MF,Swansea City,23,2002,36,29,2492,27.7,3,2,5,3,0,0,12,0,0.11,0.07,0.18,0.11,0.18,Matches,690d1049
687,Jay Stansfield,eng ENG,MFFW,Birmingham City,22,2002,44,41,3284,36.5,10,6,16,8,2,3,10,0,0.27,0.16,0.44,0.22,0.38,Matches,b2626673
688,Jack Stephens,eng ENG,DF,Southampton,31,1994,32,30,2707,30.1,2,0,2,2,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,6adbc307
689,Ross Stewart,sct SCO,FW,Southampton,29,1996,25,11,981,10.9,8,2,10,8,0,0,2,0,0.73,0.18,0.92,0.73,0.92,Matches,18986367
690,Jakub Stolarczyk,pl POL,GK,Leicester City,24,2000,36,36,3195,35.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a4a76b3d
