,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Brenden Aaronson,us USA,MF,Leeds United,23,2000,46,43,3551,39.5,9,2,11,9,0,0,1,0,0.23,0.05,0.28,0.23,0.28,Matches,5bc43860
2,Thelo Aasgaard,no NOR,MFFW,Luton Town,22,2002,17,17,1513,16.8,2,1,3,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,Matches,c88a28b9
3,James Abankwah,ie IRL,DF,Watford,20,2004,19,17,1384,15.4,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,4b7a9fcc
4,Salis Abdul Samed,gh GHA,MF,Sunderland,24,2000,10,3,283,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82464ce3
5,Azeem Abdulai,sct SCO,MF,Swansea City,21,2002,17,2,348,3.9,1,0,1,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches,a0893a41
6,Ebou Adams,gm GAM,MF,Derby County,28,1996,44,42,3789,42.1,6,1,7,6,0,0,12,0,0.14,0.02,0.17,0.14,0.17,Matches,84d7ae33
7,Elijah Adebayo,eng ENG,FW,Luton Town,26,1998,39,31,2425,26.9,5,0,5,5,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,0480ebc7
8,Michael Adu-Poku,eng ENG,FW,Watford,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e47141d7
9,Enock Agyei,be BEL,FW,Burnley,19,2005,3,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a1dd3b81
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,25,1999,38,35,3136,34.8,3,1,4,3,0,0,11,1,0.09,0.03,0.11,0.09,0.11,Matches,eab957a3
11,Semi Ajayi,ng NGA,DF,West Brom,30,1993,15,14,1228,13.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,d6192210
12,Milan Aleksić,rs SRB,MF,Sunderland,18,2005,8,3,290,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c79f7793
13,Ajibola Alese,eng ENG,DF,Sunderland,23,2001,12,8,703,7.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,182a8b9d
14,Jamie Allen,eng ENG,MF,Coventry City,29,1995,21,12,1004,11.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2c183a79
15,Joe Allen,wls WAL,MF,Swansea City,34,1990,25,8,709,7.9,1,1,2,1,0,0,2,0,0.13,0.13,0.25,0.13,0.25,Matches,9feb8f24
16,Millenic Alli,ie IRL,MFFW,Luton Town,24,2000,16,6,766,8.5,4,0,4,4,0,0,1,0,0.47,0.00,0.47,0.47,0.47,Matches,b639311c
17,Jak Alnwick,eng ENG,GK,Cardiff City,31,1993,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b0835fc0
18,Will Alves,eng ENG,MFFW,Cardiff City,19,2005,14,8,667,7.4,1,3,4,1,0,0,0,0,0.13,0.40,0.54,0.13,0.54,Matches,39ef5a7b
19,Steven Alzate,co COL,MF,Hull City,25,1998,28,21,1941,21.6,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,ad1f61f3
20,Zeki Amdouni,ch SUI,FWMF,Burnley,23,2000,2,0,35,0.4,1,0,1,1,0,0,0,0,2.57,0.00,2.57,2.57,2.57,Matches,2ee5b0c9
21,Ethan Ampadu,wls WAL,DFMF,Leeds United,23,2000,29,26,2285,25.4,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,10b9fa99
22,Nordin Amrabat,ma MAR,MF,Hull City,37,1987,10,2,288,3.2,0,1,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,Matches,7c2a398c
23,Lucas Andersen,dk DEN,MF,QPR,29,1994,33,13,1165,12.9,2,0,2,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,bb753183
24,Joe Anderson,eng ENG,DF,Sunderland,23,2001,2,1,99,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,19a890ba
25,Ryan Andrews,eng ENG,MFDF,Watford,19,2004,38,21,2086,23.2,3,2,5,3,0,0,3,0,0.13,0.09,0.22,0.13,0.22,Matches,40d103f8
26,Jaidon Anthony,eng ENG,MF,Burnley,24,1999,43,42,3661,40.7,8,7,15,8,0,0,4,0,0.20,0.17,0.37,0.20,0.37,Matches,e4238fb1
27,Adil Aouchiche,dz ALG,MF,Portsmouth,22,2002,12,9,683,7.6,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches,b94b8be1
28,Adil Aouchiche,dz ALG,MF,Sunderland,22,2002,8,3,296,3.3,0,1,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches,b94b8be1
29,Oliver Arblaster,eng ENG,MF,Sheffield United,20,2004,12,11,978,10.9,2,1,3,2,0,0,3,0,0.18,0.09,0.28,0.18,0.28,Matches,afe1a491
30,Jordan Archer,sct SCO,GK,Portsmouth,31,1993,2,1,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,480c4a00
31,Adam Armstrong,eng ENG,FWMF,West Brom,27,1997,16,12,1008,11.2,3,0,3,2,1,1,0,0,0.27,0.00,0.27,0.18,0.18,Matches,68c720b5
32,Harrison Armstrong,eng ENG,MF,Derby County,17,2007,15,12,1105,12.3,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,de59e609
33,Sinclair Armstrong,ie IRL,FW,Bristol City,21,2003,36,17,1555,17.3,3,0,3,3,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,c2bf2522
34,Stuart Armstrong,sct SCO,MF,Sheffield Weds,32,1992,11,6,536,6.0,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,97333cf5
35,Harrison Ashby,sct SCO,DFMF,QPR,22,2001,29,17,1583,17.6,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,b391383a
36,Cian Ashford,wls WAL,MFFW,Cardiff City,19,2004,28,17,1522,16.9,2,3,5,2,0,0,0,0,0.12,0.18,0.30,0.12,0.30,Matches,cd43347e
37,Robert Atkinson,eng ENG,DF,Portsmouth,26,1998,14,13,1098,12.2,2,1,3,2,0,0,4,0,0.16,0.08,0.25,0.16,0.25,Matches,181df6a4
38,Luke Ayling,eng ENG,DF,Middlesbrough,32,1991,26,23,1951,21.7,0,2,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches,420d7c7d
39,Finn Azaz,ie IRL,MF,Middlesbrough,23,2000,45,43,3544,39.4,12,11,23,12,0,0,6,0,0.30,0.28,0.58,0.30,0.58,Matches,b6f54c31
40,Femi Azeez,ng NGA,MF,Millwall,23,2001,34,21,1906,21.2,2,5,7,2,0,0,4,0,0.09,0.24,0.33,0.09,0.33,Matches,2d590087
41,Kwadwo Baah,eng ENG,MFFW,Watford,21,2003,27,16,1459,16.2,4,3,7,4,0,0,5,1,0.25,0.19,0.43,0.25,0.43,Matches,f240e4f2
42,Daniel Bachmann,at AUT,GK,Watford,30,1994,22,22,1902,21.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1c0eea98
43,Joel Bagan,ie IRL,DF,Cardiff City,24,2000,31,17,1612,17.9,0,1,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches,e9da32cb
44,Michael Baidoo,gh GHA,MFFW,Plymouth Argyle,25,1999,11,4,452,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,467553cf
45,Lewis Baker,eng ENG,MF,Blackburn,29,1995,13,7,596,6.6,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,1b278bf5
46,Lewis Baker,eng ENG,MF,Stoke City,29,1995,19,16,1475,16.4,6,2,8,4,2,2,3,0,0.37,0.12,0.49,0.24,0.37,Matches,1b278bf5
47,Daniel Ballard,nir NIR,DF,Sunderland,24,1999,20,12,1127,12.5,2,1,3,2,0,0,3,0,0.16,0.08,0.24,0.16,0.24,Matches,38f300f3
48,Patrick Bamford,eng ENG,FWMF,Leeds United,30,1993,17,0,252,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93feac6e
49,Raees Bangura-Williams,,MF,Millwall,,,10,7,608,6.8,0,3,3,0,0,0,2,0,0.00,0.44,0.44,0.00,0.44,Matches,ccb5fe22
50,Tamer Bani Odeh,jo JOR,FW,West Brom,20,2003,4,0,53,0.6,0,1,1,0,0,0,1,0,0.00,1.70,1.70,0.00,1.70,Matches,8a03364a
51,Barry Bannan,sct SCO,MF,Sheffield Weds,34,1989,41,40,3461,38.5,4,5,9,4,0,0,7,0,0.10,0.13,0.23,0.10,0.23,Matches,9469fb13
52,Jamal Baptiste,eng ENG,DF,Sheffield United,20,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,41d3704d
53,Shandon Baptiste,gd GRN,MF,Luton Town,26,1998,16,7,717,8.0,1,0,1,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches,2886c9b5
54,Tom Barkhuizen,eng ENG,MFFW,Derby County,31,1993,19,2,404,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9cf7496b
55,Daniel Barlaser,tr TUR,MF,Middlesbrough,27,1997,23,12,1155,12.8,1,1,2,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches,91ea9f40
56,Ashley Barnes,eng ENG,FW,Norwich City,34,1989,8,1,173,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2691c772
57,Ashley Barnes,eng ENG,FW,Burnley,34,1989,13,1,134,1.5,1,1,2,1,0,0,1,0,0.67,0.67,1.34,0.67,1.34,Matches,2691c772
58,Louie Barry,eng ENG,MF,Hull City,21,2003,4,2,165,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd885979
59,Kyle Bartley,eng ENG,DF,West Brom,33,1991,31,30,2610,29.0,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,18e96f64
60,Norman Bassette,be BEL,FW,Coventry City,19,2004,25,11,907,10.1,2,0,2,2,0,0,5,0,0.20,0.00,0.20,0.20,0.20,Matches,9cd23b05
61,Danny Batth,eng ENG,DF,Blackburn,33,1990,37,34,3009,33.4,2,0,2,2,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches,f1d0fa63
62,Patrick Bauer,de GER,DF,Preston,31,1992,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1bd6bc77
63,Vakoun Bayo,ci CIV,FW,Watford,27,1997,41,25,2242,24.9,10,0,10,9,1,1,5,1,0.40,0.00,0.40,0.36,0.36,Matches,132f161f
64,James Beadle,eng ENG,GK,Sheffield Weds,20,2004,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9019e4d8
65,Owen Beck,wls WAL,DFMF,Blackburn,21,2002,24,21,1874,20.8,1,0,1,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,Matches,a011a1e9
66,Chris Bedia,ci CIV,FW,Hull City,28,1996,21,9,921,10.2,3,0,3,2,1,1,0,0,0.29,0.00,0.29,0.20,0.20,Matches,ec11ecf8
67,Amari'i Bell,jm JAM,DFMF,Luton Town,30,1994,31,31,2706,30.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,399e9474
68,Sam Bell,eng ENG,FWMF,Bristol City,22,2002,20,0,440,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a95abffc
69,Jobe Bellingham,eng ENG,MF,Sunderland,18,2005,40,39,3507,39.0,4,3,7,4,0,0,10,1,0.10,0.08,0.18,0.10,0.18,Matches,c88ff68d
