,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
395,Mert Müldür,tr TUR,DF,Fenerbahçe,25,1999,29,21,1874,20.8,3,2,5,3,0,0,2,1,0.14,0.10,0.24,0.14,0.24,Matches,1295552e
396,Jackson Muleka,cd COD,FWMF,Beşiktaş,24,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,383e8f03
397,Fernando Muslera,uy URU,GK,Galatasaray,38,1986,34,34,3059,34.0,1,0,1,0,1,1,7,0,0.03,0.00,0.03,0.00,0.00,Matches,a2abe631
398,Nanu,gw GNB,DFFW,Samsunspor,30,1994,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9b9b71a
399,Umut Nayir,tr TUR,FW,Konyaspor,31,1993,33,13,1480,16.4,6,0,6,5,1,2,5,0,0.36,0.00,0.36,0.30,0.30,Matches,fc4ab056
400,Duckens Nazon,ht HAI,FW,Kayserispor,30,1994,33,20,1957,21.7,8,3,11,8,0,0,4,0,0.37,0.14,0.51,0.37,0.51,Matches,20e87a42
401,Alassane Ndao,sn SEN,MFDF,Konyaspor,27,1996,31,25,2091,23.2,4,1,5,4,0,0,5,1,0.17,0.04,0.22,0.17,0.22,Matches,6abe11e6
402,Badou Ndiaye,sn SEN,MF,Gaziantep,33,1990,29,28,2424,26.9,1,2,3,1,0,0,11,0,0.04,0.07,0.11,0.04,0.11,Matches,960acc0a
403,Cher Ndour,it ITA,MF,Beşiktaş,20,2004,12,6,678,7.5,1,2,3,1,0,0,0,0,0.13,0.27,0.40,0.13,0.40,Matches,3b88609d
404,Victor Nelsson,dk DEN,DF,Galatasaray,25,1998,11,2,289,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e53b5534
405,Lasse Nielsen,dk DEN,MFDF,Göztepe,36,1988,28,17,1753,19.5,1,3,4,1,0,0,4,0,0.05,0.15,0.21,0.05,0.21,Matches,06e5b0e4
