,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
334,Youness Lachhab Didi,ma MAR,MFDF,Eldense,25,1999,13,2,441,4.9,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches,6fb15380
335,Mathis Lachuer,fr FRA,MF,Mirandés,23,2000,38,33,2646,29.4,2,2,4,0,2,3,8,1,0.07,0.07,0.14,0.00,0.07,Matches,8ee3cdec
336,Manu Lama,es ESP,DF,Granada,23,2001,16,12,1018,11.3,2,1,3,2,0,0,2,1,0.18,0.09,0.27,0.18,0.27,Matches,2bf3c2c8
337,Anthony Landazuri,ec ECU,DF,Tenerife,27,1997,11,11,844,9.4,1,1,2,1,0,0,2,1,0.11,0.11,0.21,0.11,0.21,Matches,b3a267f0
338,Bruno Langa,mz MOZ,DF,Almería,26,1997,24,17,1511,16.8,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,72947847
339,Adrián Lapeña,es ESP,DF,Córdoba,28,1996,17,17,1512,16.8,1,0,1,1,0,0,6,1,0.06,0.00,0.06,0.06,0.06,Matches,e2e23679
340,David Larrubia,es ESP,MFFW,Málaga,22,2002,36,33,2787,31.0,4,2,6,4,0,0,2,0,0.13,0.06,0.19,0.13,0.19,Matches,a09bc5e8
341,Lázaro,br BRA,MFFW,Almería,22,2002,15,3,429,4.8,0,1,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches,86ff856b
342,Helton Leite,br BRA,GK,Dep. La Coruña,33,1990,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e8918589
343,Álvaro Lemos,es ESP,DF,Oviedo,31,1993,9,6,507,5.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,31d45cc8
344,Juan Lendínez,es ESP,MF,Granada,21,2003,5,0,62,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8d74054e
345,José León Bernal,es ESP,DF,Tenerife,29,1995,29,28,2500,27.8,3,0,3,3,0,0,2,1,0.11,0.00,0.11,0.11,0.11,Matches,bea8d8b7
346,Adrián Liso,es ESP,MFFW,Zaragoza,19,2005,40,25,2491,27.7,4,1,5,4,0,0,2,0,0.14,0.04,0.18,0.14,0.18,Matches,26615dea
347,Raúl Lizoain,es ESP,GK,Albacete,33,1991,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f69e9eee
348,Javier Llabrés,es ESP,MFFW,Eldense,21,2002,15,14,1033,11.5,3,0,3,2,1,1,3,0,0.26,0.00,0.26,0.17,0.17,Matches,38b0cf42
349,Julen Lobete,es ESP,FWMF,Málaga,23,2000,36,28,2276,25.3,3,2,5,3,0,0,3,0,0.12,0.08,0.20,0.12,0.20,Matches,a952a529
350,Álex López,es ESP,MF,Racing Ferrol,36,1988,15,5,515,5.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,30b44896
351,Alex López,es ESP,DF,Córdoba,18,2005,2,1,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1ca5791d
352,Carlos López,es ESP,GK,Málaga,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,090e367c
353,David López,es ESP,DF,Burgos,21,2003,17,16,1407,15.6,1,1,2,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matches,0924357d
354,Lisandro López,ar ARG,DF,Burgos,34,1989,10,8,735,8.2,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,8320fe65
355,Lluis López,es ESP,DF,Zaragoza,27,1997,29,29,2538,28.2,0,1,1,0,0,0,6,1,0.00,0.04,0.04,0.00,0.04,Matches,a685f013
356,Dion Lopy,sn SEN,MF,Almería,22,2002,36,32,2908,32.3,1,3,4,1,0,0,19,0,0.03,0.09,0.12,0.03,0.12,Matches,64c14d49
357,Dani Lorenzo,es ESP,MFFW,Málaga,21,2003,12,6,471,5.2,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,b344c7d5
358,Albert Lottin,fr FRA,MFFW,Castellón,22,2001,15,6,669,7.4,1,2,3,1,0,0,2,0,0.13,0.27,0.40,0.13,0.40,Matches,934a0957
359,Miguel Loureiro,es ESP,DF,Huesca,27,1996,31,30,2647,29.4,3,1,4,3,0,0,8,1,0.10,0.03,0.14,0.10,0.14,Matches,8611e214
360,Sergio Lozano,es ESP,MF,Levante,25,1999,40,9,1203,13.4,0,3,3,0,0,0,4,0,0.00,0.22,0.22,0.00,0.22,Matches,3dfc70ed
361,Oier Luengo,es ESP,DF,Oviedo,26,1997,28,24,2097,23.3,2,1,3,2,0,0,8,1,0.09,0.04,0.13,0.09,0.13,Matches,8648c59f
362,José Luis Morales,es ESP,FWMF,Levante,37,1987,42,36,2661,29.6,11,4,15,11,0,0,4,0,0.37,0.14,0.51,0.37,0.51,Matches,4a478107
363,Luismi,es ESP,MF,Málaga,32,1992,30,27,2351,26.1,0,1,1,0,0,0,12,0,0.00,0.04,0.04,0.00,0.04,Matches,c2cfbfc9
364,Luismi,es ESP,MF,Tenerife,23,2001,38,33,2870,31.9,2,8,10,2,0,1,2,1,0.06,0.25,0.31,0.06,0.31,Matches,acf5410c
365,Daniel Luna,co COL,MF,Cartagena,21,2003,17,11,950,10.6,3,1,4,3,0,0,2,0,0.28,0.09,0.38,0.28,0.38,Matches,410b16e3
366,Marcos Luna,es ESP,DFMF,Zaragoza,21,2003,26,15,1422,15.8,2,2,4,2,0,0,7,0,0.13,0.13,0.25,0.13,0.25,Matches,4a8a93f9
367,Awer Mabil,au AUS,MFFW,Castellón,28,1995,14,11,1042,11.6,0,6,6,0,0,0,1,0,0.00,0.52,0.52,0.00,0.52,Matches,922da988
