,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
487,Kyan Vaesen,be BEL,FW,Willem II,23,2001,27,24,1896,21.1,4,2,6,2,2,2,2,1,0.19,0.09,0.28,0.09,0.19,Matches,f95cbfbc
488,Etienne Vaessen,sr SUR,GK,Groningen,29,1995,32,32,2880,32.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,5622d68b
489,Luciano Valente,nl NED,MF,Groningen,20,2003,32,31,2587,28.7,2,7,9,2,0,0,4,1,0.07,0.24,0.31,0.07,0.31,Matches,5ef7613f
490,Cherrion Valerius,cw CUW,DF,NAC Breda,18,2005,15,15,1201,13.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4d81ef5e
491,Dave Van Den Berg,nl NED,MF,Zwolle,24,2000,32,26,2228,24.8,4,3,7,4,0,0,6,1,0.16,0.12,0.28,0.16,0.28,Matches,d3ea4a10
492,Jan Van den Bergh,be BEL,DF,NAC Breda,29,1994,30,30,2700,30.0,2,4,6,2,0,0,11,0,0.07,0.13,0.20,0.07,0.20,Matches,c3945f19
493,Dario Van den Buijs,be BEL,DF,RKC Waalwijk,28,1995,14,13,1110,12.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0a236449
494,Alec Van Hoorenbeeck,be BEL,DF,Twente,25,1998,20,11,1116,12.4,2,0,2,2,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches,f367997a
495,Per Van Loon,,FW,Willem II,,,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,615efe51
496,Syb Van Ottele,nl NED,DFMF,Fortuna Sittard,22,2002,31,18,1874,20.8,0,3,3,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches,341dc28c
497,Joey Veerman,nl NED,MF,PSV,25,1998,27,22,1830,20.3,1,8,9,1,0,0,3,0,0.05,0.39,0.44,0.05,0.44,Matches,18fae4ac
498,Odysseus Velanas,nl NED,MFFW,Zwolle,26,1998,29,12,1365,15.2,1,2,3,1,0,0,1,0,0.07,0.13,0.20,0.07,0.20,Matches,8185305c
499,Apostolos Vellios,gr GRE,FW,Zwolle,32,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,44918bf5
500,Dylan Vente,nl NED,FW,Zwolle,25,1999,30,29,2518,28.0,13,0,13,10,3,3,3,0,0.46,0.00,0.46,0.36,0.36,Matches,80b81359
501,Calvin Verdonk,id IDN,DF,NEC Nijmegen,27,1997,33,31,2853,31.7,1,1,2,1,0,0,9,0,0.03,0.03,0.06,0.03,0.06,Matches,bf2b4026
502,Valentino Vermeulen,nl NED,DFMF,Willem II,23,2001,3,0,24,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c0baf2c0
503,Arno Verschueren,be BEL,FW,Twente,27,1997,14,1,358,4.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0ae2b36f
504,Arno Verschueren,be BEL,MF,Sparta R.,27,1997,20,20,1658,18.4,1,2,3,1,0,0,3,0,0.05,0.11,0.16,0.05,0.16,Matches,0ae2b36f
505,Dion Versluis,nl NED,,NAC Breda,21,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba511a31
506,Niklas Vesterlund,dk DEN,DF,Utrecht,25,1999,8,8,636,7.1,1,2,3,1,0,0,1,0,0.14,0.28,0.42,0.14,0.42,Matches,3829be9f
507,Nick Viergever,nl NED,DF,Utrecht,34,1989,33,33,2948,32.8,3,1,4,3,0,0,2,1,0.09,0.03,0.12,0.09,0.12,Matches,e38f1636
508,Ricardo Visus,es ESP,DF,Almere City,23,2001,24,23,1962,21.8,1,0,1,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,Matches,7016332f
509,Michel Vlap,nl NED,MF,Twente,27,1997,34,31,2499,27.8,5,7,12,5,0,0,3,0,0.18,0.25,0.43,0.18,0.43,Matches,02760e49
510,Patrick Vroegh,nl NED,MF,RKC Waalwijk,24,1999,4,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d5fa902
511,Wout Weghorst,nl NED,FW,Ajax,31,1992,24,9,1085,12.1,10,2,12,9,1,2,2,0,0.83,0.17,1.00,0.75,0.91,Matches,c4e87b8b
512,Daouda Weidmann,ci CIV,MF,RKC Waalwijk,21,2003,12,8,788,8.8,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,535a991e
513,Robbin Weijenberg,nl NED,MFDF,Go Ahead Eagles,19,2004,18,3,310,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,958d04b9
514,Timon Wellenreuther,de GER,GK,Feyenoord,28,1995,29,29,2610,29.0,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,2f18d0b8
515,Jonas Wendlinger,at AUT,GK,Almere City,24,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,61a623ef
516,Jannes Wieckhoff,de GER,DF,Heracles Almelo,23,2000,21,13,1251,13.9,0,2,2,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,Matches,8665db67
517,Owen Wijndal,nl NED,DFMF,Ajax,24,1999,10,3,372,4.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,83300259
518,Jordy de Wijs,nl NED,DF,Heerenveen,29,1995,3,0,70,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3bb5b5d2
519,Brynjólfur Willumsson,is ISL,FW,Groningen,23,2000,29,6,960,10.7,4,1,5,4,0,0,2,1,0.37,0.09,0.47,0.37,0.47,Matches,a597bf9a
520,Mees de Wit,nl NED,DFFW,AZ Alkmaar,26,1998,14,5,472,5.2,1,1,2,1,0,0,2,0,0.19,0.19,0.38,0.19,0.38,Matches,116a67ee
521,Ricky van Wolfswinkel,nl NED,FWMF,Twente,35,1989,26,16,1605,17.8,7,1,8,6,1,1,3,0,0.39,0.06,0.45,0.34,0.39,Matches,dbe16ade
522,Luuk Wouters,nl NED,DF,RKC Waalwijk,25,1999,12,8,829,9.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,332f99b0
