accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
58,0,0.0,167,102,42.15,503,982,1485,83.47,118,64.48,65,29,1,0,0,0,144,2,5,5,9,135,29,0,0,4,25,127,0,1,,,35,0,10.71,7,3,4,34,28,6,3,0,,81,56.64,2,0,0,294,38,12,0,29,2544,4,,2,0,0,0,0.0,0,0,0,1,330,2,0,7.13,0,1,0,0,0,0,0,0,848.0,0.0,0,25,3,15,8,4,57.14,0,42,28,66.67,12,113,7,5,199,61.04,242,706,1078,1779,206.9,28,3,2216,36,6,0,Timo Hübers,1. FC Köln,387220,2671,DF
17,0,0.0,38,46,52.27,91,259,350,82.94,15,50.0,15,12,0,0,0,0,26,0,1,2,2,53,12,0,0,0,7,29,2,0,,,9,0,27.27,16,3,3,22,22,0,3,0,,29,67.44,1,0,0,72,8,9,0,12,1080,4,,0,1,0,0,0.0,0,0,0,0,171,0,0,7.13,0,2,0,0,0,0,0,0,360.0,0.0,0,10,1,4,5,1,100.0,0,14,8,57.14,8,29,1,9,44,60.27,88,149,282,422,85.6,11,1,743,14,5,0,Torge Paetow,Preußen Münster,253477,2590,DF
19,10,19.61,312,23,56.1,485,178,653,83.29,11,40.74,16,31,7,0,0,0,92,11,9,26,0,13,31,0,0,35,10,143,0,0,,,31,0,5.0,0,3,10,34,32,2,2,1,,141,52.61,0,0,0,131,8,46,1,27,2119,11,,0,0,0,0,0.0,0,0,0,1,333,18,0,7.13,0,2,0,0,0,0,0,0,706.33,0.0,1,37,23,16,18,59,51.3,0,21,11,52.38,46,37,115,51,152,51.53,41,632,203,784,221.1,60,3,1303,62,5,0,Livan Burcu,1. FC Magdeburg,1513469,2591,FW
91,0,0.0,52,304,45.17,177,685,862,69.63,16,94.12,1,29,1,0,0,0,302,0,0,0,3,31,29,0,0,0,3,4,2,3,,,0,0,0.0,145,0,1,52,45,7,0,0,,2,40.0,0,19,0,376,1,3,0,28,2565,0,,0,0,0,0,0.0,2,0,0,0,381,0,14,7.13,0,0,15,63,41,104,2,14,0.0,0.0,0,0,0,0,0,0,0.0,15,1,0,0.0,3,138,0,0,18,81.82,673,462,776,1238,206.8,0,2,1526,1,1,0,Justin Heekeren,FC Schalke 04,932070,2530,GK
83,0,0.0,36,267,43.41,141,746,887,71.24,7,100.0,0,33,0,0,0,0,310,0,0,0,9,34,33,0,0,0,2,2,0,2,,,0,0,0.0,133,0,0,41,40,1,0,0,,6,75.0,0,27,0,358,0,0,0,33,2970,0,,0,0,0,0,0.0,4,0,0,0,364,0,12,7.13,0,0,20,64,35,102,1,17,0.0,0.0,0,0,0,0,0,1,100.0,19,2,1,50.0,0,126,1,0,13,86.67,615,396,849,1245,235.3,0,1,1551,5,0,0,Johannes Schenk,Preußen Münster,1022459,2590,GK
21,1,50.0,78,40,56.34,183,336,518,88.1,24,48.0,26,11,1,0,0,0,52,1,1,1,3,40,11,0,0,5,11,51,0,0,,,9,0,0.0,1,0,1,17,16,1,0,0,,44,63.77,0,0,1,70,15,4,0,11,982,2,,0,0,0,1,0.0,0,0,0,0,84,2,0,7.13,0,0,0,0,0,0,0,0,0.0,0.0,0,6,1,4,2,3,60.0,0,25,20,80.0,4,46,5,2,68,57.14,71,230,360,588,78.4,7,1,753,16,4,0,Maximilian Bauer,1. FC Kaiserslautern,940393,2675,DF
22,6,17.65,199,12,57.14,349,129,472,84.44,3,27.27,8,22,2,0,0,0,86,3,2,10,0,14,21,0,0,19,23,85,0,1,,,17,0,10.34,0,3,5,17,14,3,3,0,,76,49.67,1,0,1,87,13,28,0,15,1262,4,,0,0,0,0,0.0,0,0,0,0,190,13,0,7.12,1,2,0,0,0,0,0,0,420.67,0.0,0,19,10,11,8,38,66.67,0,24,18,75.0,28,31,57,34,79,48.17,21,448,145,559,149.5,29,1,871,14,3,1,Emir Sahiti,Hamburger SV,841985,2676,FW
18,1,20.0,70,50,32.26,172,569,740,78.64,89,52.66,80,25,2,0,0,0,61,2,2,4,6,126,24,0,0,0,11,114,0,0,,,23,0,10.71,77,3,5,31,30,1,3,0,,47,58.02,1,0,0,201,28,8,2,23,1996,2,,0,0,0,2,0.0,0,0,0,0,226,2,0,7.11,0,0,0,0,0,0,0,0,665.33,0.0,0,26,2,14,10,4,50.0,0,22,14,63.64,8,48,8,5,136,54.4,155,323,623,941,170.6,28,3,1287,24,8,0,Lukas Frenkert,Preußen Münster,1082633,2590,DF
33,4,25.0,121,53,51.96,389,702,1087,86.61,53,58.89,37,26,2,0,0,0,121,2,2,2,5,90,26,0,1,9,13,91,0,1,,,24,0,22.22,10,4,6,36,29,7,4,0,,84,60.87,0,0,0,168,27,10,1,25,2189,0,,0,0,3,1,100.0,0,3,0,0,218,1,0,7.1,1,3,0,0,0,0,0,0,547.25,0.0,0,15,3,7,9,12,60.0,0,48,30,62.5,10,57,20,16,137,60.09,102,508,763,1255,184.7,18,1,1617,25,10,0,Boris Tomiak,Hannover 96,877306,2541,DF
33,10,15.38,298,46,59.74,467,270,727,77.92,16,37.21,27,33,3,0,0,0,128,8,2,18,2,23,33,0,0,46,11,179,0,2,,,35,0,7.25,0,5,8,44,36,8,3,2,,178,53.94,0,0,2,206,16,45,0,33,2657,2,,0,0,1,1,100.0,0,1,0,0,478,17,0,7.1,0,5,0,0,0,0,0,0,531.4,0.0,0,24,45,31,20,75,54.74,0,63,43,68.25,45,69,137,65,194,52.01,77,686,312,933,234.4,69,3,1621,41,6,0,Ibrahim Maza,Hertha BSC,1407524,2528,MF
